"","est1",""
"","b","p"
"MR","",""
"sp47_41_pp","1.001419",".1506677"
"sp47_42_pp",".9956081",".1947487"
"sp47_44_pp",".997333",".2012105"
"sp48_11_pp","1.000731",".5741409"
"sp48_24_pp",".9372868","0"
"sp48_25_pp","1.0023",".3246305"
"sp48_26_pp","1.00289",".0500798"
"sp48_27_pp","1.000781",".5218528"
"sp48_28_pp","1.003768",".0840803"
"sp48_4_pp","1.015433","0"
"sp48_5_pp",".9997391",".9482072"
"sp48_6_pp","1.001665",".1532637"
"sp48_7_pp",".9991391",".3487629"
"sp48_8_pp","1.004144",".0290455"
"sp71_701_pp",".8140337","0"
"sp72_503_pp",".9975187",".0859463"
"sp72_610_pp","1.00251",".5134593"
"sp72_620_pp","1.00412",".5258975"
"sp72_630_pp","1.00022",".2376062"
"sp75_100_pp","1.003536",".2920242"
"sp75_1001_1_pp",".9989607",".6145612"
"sp75_1001_pp","1","."
"sp75_1003_1_pp",".9968962",".3353655"
"sp75_1100_2_pp","1.000621",".0007036"
"sp75_1101_20_pp",".7431607","0"
"sp75_1102_pp",".9990673",".4532186"
"sp75_1103_4_pp","1.000376",".2394454"
"sp75_1104_pp",".9999816",".9884264"
"sp75_1106_2_pp","1.001268",".1484725"
"sp75_1106_3_pp","1.00078",".0073979"
"sp75_1106_4_pp",".9970539",".133799"
"sp75_1106_5_pp","1.000059",".9528206"
"sp75_1106_6_pp","1","."
"sp75_1106_pp",".9997051",".8690892"
"sp75_1107_14_pp","1.009827",".0092874"
"sp75_1400_1_pp",".9953526",".4041197"
"sp75_1400_2_pp",".9967259",".3669456"
"sp75_1400_3_pp","1.000193",".9074738"
"sp75_1400_4_pp",".9953358",".1764322"
"sp75_1400_pp",".9968455",".0338729"
"sp75_1401_1_pp","1.023219",".0115121"
"sp75_1401_pp",".9920986",".4945488"
"sp75_1403_10_pp",".9999007",".8056042"
"sp75_1403_11_pp","1.001667",".6076839"
"sp75_1403_3_pp",".9980057",".5518315"
"sp75_1403_4_pp","1.001249",".7824489"
"sp75_1403_5_pp",".9997147",".3137255"
"sp75_1403_6_pp",".999751",".2983737"
"sp75_1403_7_pp",".9997527",".8043864"
"sp75_1403_8_pp",".9997018",".3632769"
"sp75_1403_9_pp",".9992814",".3133904"
"sp75_1404_1_pp",".9901298",".1730425"
"sp75_1404_pp","1.008914",".1265891"
"sp75_1405_1_pp","1.000186",".9693343"
"sp75_1405_pp",".9991999",".0418545"
"sp75_1431_pp","1","."
"sp75_1432_pp",".987223",".0381278"
"sp75_1433_pp","1.002216",".2240296"
"sp75_1434_pp",".9994355",".8399469"
"sp75_1435_pp",".9980138",".7450318"
"sp75_1437_pp","1.001957",".7319037"
"sp75_150_pp","1.004046",".1074797"
"sp75_151_pp","1.003099",".6591853"
"sp75_153_pp","1.003936",".2031017"
"sp75_156_pp","1.006641",".2223699"
"sp75_160_pp","1.006942",".5908742"
"sp75_1600_2_pp",".9991069",".0558913"
"sp75_1712_10_pp",".9978807",".1384128"
"sp75_1712_6_pp","1.000235",".8180869"
"sp75_1720_pp",".9992312",".3112771"
"sp75_1721_pp",".5025248","0"
"sp75_1725_pp","1.000108",".3350637"
"sp75_1726_pp","1.00073",".6199931"
"sp75_1727_pp",".6070572","0"
"sp75_1728_pp","1.005916",".0826973"
"sp75_1729_pp",".9911787",".0029068"
