"","est1",""
"","b","p"
"MR","",""
"sp47_41_ss_c_lag_all",".8940012",".2495335"
"sp47_44_ss_c_lag_all",".8168754",".0285722"
"sp48_11_ss_c_lag_all",".9832472",".2000943"
"sp48_25_ss_c_lag_all",".9753637",".0819462"
"sp48_26_ss_c_lag_all","1.03411",".1090672"
"sp48_27_ss_c_lag_all","1.041334",".0117546"
"sp48_28_ss_c_lag_all",".9511926",".0298884"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.031084",".0639241"
"sp48_6_ss_c_lag_all","1.031006",".0382633"
"sp48_7_ss_c_lag_all","1.012765",".3810584"
"sp48_8_ss_c_lag_all","1.045146",".1583891"
"sp71_701_ss_c_lag_all","1.055396",".5977285"
"sp72_503_ss_c_lag_all",".9197197",".0139996"
"sp72_610_ss_c_lag_all",".9998119",".9984945"
"sp72_620_ss_c_lag_all",".8991204",".1595809"
"sp72_630_ss_c_lag_all",".9957177",".0139013"
"sp75_100_ss_c_lag_all",".9225127",".2372227"
"sp75_1001_1_ss_c_lag_all","1.603765",".00012"
"sp75_1001_ss_c_lag_all","1.008821",".8164546"
"sp75_1003_1_ss_c_lag_all","1.070797",".1672539"
"sp75_1100_2_ss_c_lag_all","1.00281",".4806621"
"sp75_1101_20_ss_c_lag_all","1.041172",".4517974"
"sp75_1102_ss_c_lag_all",".9485533",".0002015"
"sp75_1103_4_ss_c_lag_all","1.002707",".7100216"
"sp75_1104_ss_c_lag_all","1.022803",".3883504"
"sp75_1106_2_ss_c_lag_all","1.010232",".4122777"
"sp75_1106_3_ss_c_lag_all","1.00668",".1966131"
"sp75_1106_4_ss_c_lag_all","1.037989",".317962"
"sp75_1106_5_ss_c_lag_all",".9783371",".1034882"
"sp75_1106_6_ss_c_lag_all",".9389266",".5917048"
"sp75_1106_ss_c_lag_all","1.018",".6169235"
"sp75_1107_14_ss_c_lag_all","1.426147",".0333575"
"sp75_1400_1_ss_c_lag_all","1.012118",".8166238"
"sp75_1400_2_ss_c_lag_all",".6700816",".0597953"
"sp75_1400_3_ss_c_lag_all",".9501973",".0337674"
"sp75_1400_4_ss_c_lag_all","1.042173",".7062879"
"sp75_1400_ss_c_lag_all",".9877877",".3231024"
"sp75_1401_ss_c_lag_all","1.056848",".3248927"
"sp75_1403_10_ss_c_lag_all","1.006678",".1570888"
"sp75_1403_11_ss_c_lag_all",".7404966",".2079521"
"sp75_1403_3_ss_c_lag_all",".7410035",".0343469"
"sp75_1403_4_ss_c_lag_all","1.369132",".0088583"
"sp75_1403_5_ss_c_lag_all",".9989422",".5163805"
"sp75_1403_6_ss_c_lag_all",".9978673",".2761881"
"sp75_1403_7_ss_c_lag_all",".9951922",".6093756"
"sp75_1403_8_ss_c_lag_all",".9936662",".0344692"
"sp75_1403_9_ss_c_lag_all","1.056381",".0474381"
"sp75_1404_1_ss_c_lag_all",".8839368",".019419"
"sp75_1404_ss_c_lag_all","1.031111",".6789271"
"sp75_1405_1_ss_c_lag_all","1.072159",".3674529"
"sp75_1405_ss_c_lag_all","1.003908",".389932"
"sp75_1431_ss_c_lag_all",".9802712",".8663949"
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all",".9472911",".2965158"
"sp75_1434_ss_c_lag_all",".9861997",".5574002"
"sp75_1435_ss_c_lag_all",".6860115",".0047889"
