"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp",".9979524",".5144627"
"p48_pp",".9996014",".3162371"
"p71_pp","1.000311",".9106533"
"p72_pp",".9990082",".5641633"
"p75_pp","1.000074",".0027398"
"p77_pp","1.000305",".4881264"
"mine_time",".9977894",".3451107"
"onsite_insp_hours","1.000538",".0682434"
"1.state","2.031748",".0051736"
"2.state","2.382726","0"
"3.state",".7441928",".212249"
"4.state","1.548646",".0039643"
"5.state","1.011308",".9664129"
"6.state",".9644777",".6454245"
"7.state","1.232021",".3598992"
"8.state",".5274816","7.94e-13"
"9.state","1.239585",".013454"
"10.state",".7373887",".2620377"
"11.state",".7974883",".6749397"
"12.state","1.015561",".9165771"
"13.state","1.337353",".0782395"
"14.state",".5725035",".0596417"
"15.state",".6670516",".000432"
"16.state","1","."
"17.state","2.398734","0"
"29.time","1.488958",".0228244"
"30.time","1.287815",".1617569"
"31.time","1.592912",".006657"
"32.time","1.510178",".0180428"
"33.time","1.175258",".3454516"
"34.time","1.31167",".1499307"
"35.time","1.294424",".1407543"
"36.time","1","."
"37.time",".9975803",".9890307"
"38.time",".9485246",".7709472"
"39.time","1.099117",".5991124"
"40.time",".8719448",".471297"
"41.time",".9388769",".7252213"
"42.time",".9959121",".9822828"
"43.time","1.222127",".2931556"
"44.time",".9461907",".7579536"
"45.time","1.187095",".3294022"
"46.time","1.236941",".2251016"
"47.time","1.364675",".0731912"
"48.time",".9152753",".6170628"
"49.time","1.234905",".2214164"
"50.time","1.136895",".4833297"
"51.time","1.338321",".1179121"
"52.time",".862282",".4407743"
"53.time",".8743919",".4728259"
"54.time",".7641093",".1684124"
"55.time",".9391726",".7529288"
"56.time",".9849289",".9400789"
"57.time",".6424292",".0258384"
"58.time",".8304734",".3616065"
"59.time",".9318781",".7113253"
"60.time",".9533281",".8108112"
"61.time",".933054",".7363141"
"62.time",".9023755",".6285165"
"63.time","1.2976",".203378"
"64.time",".6321305",".0401194"
"65.time",".9970597",".9892977"
"N","14895",""
