"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_1lag","2.16084",".0213625"
"p48_ss_1lag","1.044678",".6070181"
"p71_ss_1lag","1.207507",".6927103"
"p72_ss_1lag",".9435763",".8714768"
"p75_ss_1lag","1.014459",".000074"
"p77_ss_1lag","1.05114",".3327979"
"mine_time",".9979852",".3638605"
"onsite_insp_hours","1.001004",".0000666"
"1.state","1.994909",".0014531"
"2.state","2.30646","0"
"3.state",".8534441",".4126368"
"4.state","1.687331",".0000182"
"5.state","1.087756",".6900031"
"6.state","1","."
"7.state","1.165954",".5526652"
"8.state",".7448167","1.33e-06"
"9.state","1.397314","6.37e-09"
"10.state",".9480978",".8309936"
"11.state","1.064903",".8256123"
"12.state","1.286923",".0161407"
"13.state","1.491392",".0101272"
"14.state",".644266",".0376156"
"15.state",".7343133",".0001906"
"16.state","1.239496",".0003576"
"17.state","2.585506","0"
"2.time",".914289",".5734409"
"3.time","1.291984",".1048695"
"4.time",".7786394",".1146461"
"5.time",".843975",".2818305"
"6.time",".7819733",".1371002"
"7.time","1","."
"8.time",".9437522",".7161314"
"9.time",".8323791",".2283709"
"10.time",".6687607",".0160834"
"11.time",".9349909",".681191"
"12.time",".9163928",".5980308"
"13.time",".7533464",".1002053"
"14.time",".7640713",".1109696"
"15.time",".9858792",".9326364"
"16.time",".6472883",".0103068"
"17.time",".7456818",".0846004"
"18.time",".7499376",".0773352"
"19.time",".6630348",".0173276"
"20.time",".5896611",".0045013"
"21.time",".5605204",".0006295"
"22.time",".7100592",".0332161"
"23.time",".6264137",".0049691"
"24.time",".5073071",".0000461"
"25.time",".7427945",".0758068"
"26.time",".5967782",".0022462"
"27.time",".6302369",".005625"
"28.time",".594449",".0031"
"29.time",".5460687",".0002885"
"30.time",".520051",".0002126"
"31.time",".6331235",".0060556"
"32.time",".6198663",".0046277"
"33.time",".4647619","9.67e-06"
"34.time",".5022724",".0000808"
"35.time",".5294414",".0001681"
"36.time",".3957838","8.07e-08"
"37.time",".4065265","4.54e-07"
"38.time",".3695053","1.23e-08"
"39.time",".4535138","7.03e-06"
"40.time",".3470151","6.34e-09"
"41.time",".3651963","4.54e-08"
"42.time",".3946562","5.29e-07"
"43.time",".4771673",".0000341"
"44.time",".358429","1.67e-08"
"45.time",".4646891",".0000245"
"46.time",".4662627",".0000116"
"47.time",".541601",".00029"
"48.time",".3607411","1.62e-08"
"49.time",".4885299",".0000526"
"50.time",".4623613",".000023"
"51.time",".5317897",".0004669"
"52.time",".3377378","1.52e-08"
"53.time",".342921","5.71e-09"
"54.time",".2837441","1.60e-10"
"55.time",".3620456","3.00e-07"
"56.time",".3830278","1.66e-06"
"57.time",".2494489","1.48e-11"
"58.time",".3158152","2.04e-08"
"59.time",".3633627","3.82e-07"
"60.time",".3688574","5.19e-07"
"61.time",".3525976","1.10e-06"
"62.time",".3414983","1.01e-06"
"63.time",".4959703",".0010993"
"64.time",".2290766","6.18e-11"
"65.time",".3705964",".0000133"
"N","26110",""
