"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9980912",".1815207"
"p48_pp_1lag","1.000009",".974403"
"p71_pp_1lag","1.002797",".002066"
"p72_pp_1lag",".998929",".1615142"
"p75_pp_1lag","1.000034",".0012787"
"p77_pp_1lag","1.000004",".9844898"
"mine_time",".9971117",".1513163"
"onsite_insp_hours",".9996252",".0168217"
"1.state","1.305305",".0461109"
"2.state","2.314579","0"
"3.state",".6996005",".0154155"
"4.state","1.205698",".0332359"
"5.state",".9334291",".7268945"
"6.state","1.032987",".6158978"
"7.state","1.183102",".1898866"
"8.state",".7471452","1.45e-07"
"9.state",".8041511",".0004075"
"10.state",".9761668",".8787931"
"11.state",".7616361",".5495892"
"12.state",".8654011",".207557"
"13.state","1.117781",".4884302"
"14.state",".6292976",".0228829"
"15.state",".6676154",".0001046"
"16.state","1","."
"17.state","1.01859",".7127234"
"29.time","1.278167",".034781"
"30.time","1.243497",".0792755"
"31.time","1.271266",".0256052"
"32.time","1.27252",".0293482"
"33.time","1.04887",".6654199"
"34.time","1.081384",".5070897"
"35.time","1.261546",".0272745"
"36.time","1","."
"37.time","1.005427",".9588385"
"38.time",".9392478",".5773996"
"39.time","1.162873",".2029902"
"40.time",".8442555",".1497141"
"41.time",".9329982",".5560952"
"42.time",".9673704",".7829008"
"43.time","1.152451",".2280731"
"44.time",".903194",".3837431"
"45.time","1.064411",".5764214"
"46.time","1.023095",".838548"
"47.time","1.163682",".1710977"
"48.time",".941158",".5955918"
"49.time","1.173696",".1391702"
"50.time","1.010485",".9246539"
"51.time","1.147912",".2036942"
"52.time",".948533",".6757835"
"53.time","1.003853",".9724142"
"54.time",".8627714",".2401586"
"55.time","1.151801",".2389387"
"56.time",".9126123",".4458882"
"57.time",".8844913",".364389"
"58.time",".9749392",".8416213"
"59.time","1.012895",".9144348"
"60.time","1.01041",".9313016"
"61.time",".9320911",".5576526"
"62.time",".9971618",".9826613"
"63.time","1.283261",".0482904"
"64.time",".7709229",".0678047"
"65.time","1.061207",".6321252"
"N","14208",""
