"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_lag_all","1.003358",".0170135"
"sp47_42_pp_c_lag_all",".9915098",".0337224"
"sp47_44_pp_c_lag_all","1.000155",".9399571"
"sp48_11_pp_c_lag_all","1.001266",".4946592"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9955252",".0751729"
"sp48_26_pp_c_lag_all","1.004862",".0633523"
"sp48_27_pp_c_lag_all","1.001605",".4583141"
"sp48_28_pp_c_lag_all",".9940209",".0292749"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.00023",".9449575"
"sp48_6_pp_c_lag_all","1.000328",".7844009"
"sp48_7_pp_c_lag_all","1.000984",".4088385"
"sp48_8_pp_c_lag_all",".9943122",".0690223"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9952741",".0073719"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all",".9944235",".6116524"
"sp72_630_pp_c_lag_all",".9998796",".5195601"
"sp75_100_pp_c_lag_all","1.00436",".4403824"
"sp75_1001_1_pp_c_lag_all","1.017797",".1299713"
"sp75_1001_pp_c_lag_all","1.035196",".3877764"
"sp75_1003_1_pp_c_lag_all",".9967168",".6446083"
"sp75_1100_2_pp_c_lag_all","1.00035",".0556217"
"sp75_1101_20_pp_c_lag_all",".9926199",".1895064"
"sp75_1102_pp_c_lag_all","1.000955",".3790679"
"sp75_1103_4_pp_c_lag_all",".9997461",".3576258"
"sp75_1104_pp_c_lag_all",".9950237",".0002668"
"sp75_1106_2_pp_c_lag_all",".9982379",".1164503"
"sp75_1106_3_pp_c_lag_all",".999536",".2127365"
"sp75_1106_4_pp_c_lag_all",".9995428",".8728361"
"sp75_1106_5_pp_c_lag_all",".9983883",".1119204"
"sp75_1106_6_pp_c_lag_all","1.012128",".5145444"
"sp75_1106_pp_c_lag_all","1.005676",".0818754"
"sp75_1107_14_pp_c_lag_all","1.027147",".0443686"
"sp75_1400_1_pp_c_lag_all",".9944065",".3422114"
"sp75_1400_2_pp_c_lag_all","1.002008",".8170686"
"sp75_1400_3_pp_c_lag_all","1.000065",".9726935"
"sp75_1400_4_pp_c_lag_all",".9897635",".033131"
"sp75_1400_pp_c_lag_all","1.001052",".5670208"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all",".9997402",".9857972"
"sp75_1403_10_pp_c_lag_all","1.001983",".0000843"
"sp75_1403_11_pp_c_lag_all","1.009204",".4986114"
"sp75_1403_3_pp_c_lag_all",".940362",".0864309"
"sp75_1403_4_pp_c_lag_all","1.073354",".0919002"
"sp75_1403_5_pp_c_lag_all",".9999154",".7973387"
"sp75_1403_6_pp_c_lag_all",".9994421",".003912"
"sp75_1403_7_pp_c_lag_all",".9987019",".3483421"
"sp75_1403_8_pp_c_lag_all",".9996946",".4594027"
"sp75_1403_9_pp_c_lag_all",".9983277",".4978852"
"sp75_1404_1_pp_c_lag_all",".963473",".0017978"
"sp75_1404_pp_c_lag_all","1.000278",".9568827"
"sp75_1405_1_pp_c_lag_all","1.01053",".8754388"
"sp75_1405_pp_c_lag_all","1.000321",".6044345"
"sp75_1431_pp_c_lag_all",".8735832",".0454903"
"sp75_1432_pp_c_lag_all",".9934146",".1639574"
"sp75_1433_pp_c_lag_all","1.001266",".6523641"
"sp75_1434_pp_c_lag_all","1.002018",".4224303"
"sp75_1435_pp_c_lag_all",".9872105",".363872"
"sp75_1437_pp_c_lag_all",".989904",".192011"
"sp75_150_pp_c_lag_all","1.008216",".0516135"
"sp75_151_pp_c_lag_all","1.000271",".9660337"
"sp75_153_pp_c_lag_all","1.007249",".2450526"
"sp75_156_pp_c_lag_all",".9878541",".2124794"
"sp75_160_pp_c_lag_all",".989686",".316351"
"sp75_1600_2_pp_c_lag_all",".9991594",".0874379"
"sp75_1712_10_pp_c_lag_all","1.001206",".5772005"
"sp75_1712_6_pp_c_lag_all","1.001736",".2548268"
"sp75_1720_pp_c_lag_all",".998558",".0912907"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000151",".0465748"
"sp75_1726_pp_c_lag_all","1.008617",".0000245"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.002626",".7559389"
"sp75_1729_pp_c_lag_all",".9945587",".19725"
"sp75_1730_pp_c_lag_all","1.002709",".5045912"
"sp75_1731_pp_c_lag_all","1.000052",".3311923"
"sp75_1903_pp_c_lag_all","1.002432",".0356912"
"sp75_1909_pp_c_lag_all",".9997917",".1390804"
"sp75_1910_pp_c_lag_all","1.000807",".0008929"
"sp75_1911_pp_c_lag_all","1.000078",".8161931"
"sp75_1912_pp_c_lag_all","1.001883",".5073491"
"sp75_1913_pp_c_lag_all","1.002225",".5105354"
"sp75_1914_pp_c_lag_all",".9996242",".0167176"
"sp75_1915_pp_c_lag_all",".9977213",".4481839"
"sp75_202_pp_c_lag_all",".99998",".5948505"
"sp75_208_pp_c_lag_all",".9997866",".6015627"
"sp75_211_pp_c_lag_all","1.000358",".2614423"
"sp75_212_pp_c_lag_all",".9983533",".110746"
"sp75_214_pp_c_lag_all",".9986256",".0829428"
"sp75_312_pp_c_lag_all",".999622",".5539234"
"sp75_320_pp_c_lag_all",".9994927",".2274598"
"sp75_324_pp_c_lag_all",".9982651",".2938572"
"sp75_337_pp_c_lag_all","1.001555",".061814"
"sp75_340_pp_c_lag_all","1.000723",".0133948"
"sp75_341_pp_c_lag_all","1.031015",".2073228"
"sp75_342_pp_c_lag_all",".9997666",".0862554"
"sp75_344_pp_c_lag_all",".9989744",".7860458"
"sp75_352_pp_c_lag_all","1.001253",".4535745"
"sp75_382_pp_c_lag_all",".9974716",".1051422"
"sp75_503_pp_c_lag_all","1.000083",".0763524"
"sp75_504_pp_c_lag_all",".9986317",".4573962"
"sp75_505_pp_c_lag_all","1.005905",".0931754"
"sp75_506_1_pp_c_lag_all","1.001384",".6980017"
"sp75_506_pp_c_lag_all",".9986058",".4614732"
"sp75_507_pp_c_lag_all","1.000143",".889372"
"sp75_511_1_pp_c_lag_all","1.056746",".002343"
"sp75_511_pp_c_lag_all","1.000595",".6357496"
"sp75_512_1_pp_c_lag_all","1.007449",".4688454"
"sp75_512_2_pp_c_lag_all","1.000283",".4032844"
"sp75_512_pp_c_lag_all","1.000058",".5660727"
"sp75_513_1_pp_c_lag_all","1.00071",".8144945"
"sp75_513_pp_c_lag_all",".9959978",".0064984"
"sp75_514_pp_c_lag_all","1.000423",".2501164"
"sp75_515_pp_c_lag_all",".9991749",".0028205"
"sp75_516_1_pp_c_lag_all","1.001579",".8210541"
"sp75_516_2_pp_c_lag_all","1.00017",".8188948"
"sp75_516_pp_c_lag_all",".999513",".1972062"
"sp75_517_1_pp_c_lag_all","1.00091",".8700988"
"sp75_517_pp_c_lag_all",".9999522",".3784093"
"sp75_518_1_pp_c_lag_all","1.000122",".8455696"
"sp75_518_pp_c_lag_all",".9995451",".2233681"
"sp75_519_pp_c_lag_all",".9610053",".4156378"
"sp75_520_pp_c_lag_all","1.000745",".3810787"
"sp75_523_1_pp_c_lag_all",".998795",".154456"
"sp75_523_2_pp_c_lag_all",".999532",".4894318"
"sp75_523_pp_c_lag_all",".9984274",".0457185"
"sp75_600_1_pp_c_lag_all",".9809577",".024587"
"sp75_600_pp_c_lag_all",".9864394",".0519043"
