"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_lag_all",".9994502",".2251593"
"p48_pp_c_lag_all","1.000095",".4625223"
"p71_pp_c_lag_all","1.001345",".1005901"
"p72_pp_c_lag_all",".9998901",".7147452"
"p75_pp_c_lag_all",".9999998",".8509064"
"p77_pp_c_lag_all","1.000082",".1220434"
"mine_time",".9948746",".7393622"
"onsite_insp_hours","1.000865","5.22e-07"
"1.state","1.572315",".3362641"
"2.state","4.442836","0"
"3.state",".4480161",".1836823"
"4.state","2.285652",".0024129"
"5.state",".964322",".9198796"
"6.state",".8660538",".2502012"
"7.state","1.458592",".0665012"
"8.state",".5335175",".0000249"
"9.state","1","."
"10.state",".506358",".0898003"
"11.state",".5144898",".1156309"
"12.state",".8826968",".598895"
"13.state","2.100415",".1812605"
"14.state",".791112",".5747494"
"15.state",".6461036",".0022799"
"16.state","1","."
"17.state","1","."
"8.time","1.212471",".2073979"
"9.time","1","."
"10.time",".516156",".0000174"
"11.time",".6897258",".0259109"
"12.time",".8130543",".1674321"
"13.time",".6907483",".0336755"
"14.time",".4664468",".0000661"
"15.time",".3842932","9.81e-07"
"16.time",".5031416",".0004023"
"N","3315",""
