"","est1",""
"","b","p"
"dv_indicator","",""
"p47_1lag",".9953437",".9718418"
"p48_1lag","1.04092",".2984388"
"p71_1lag","1.346416",".1348355"
"p72_1lag",".9871774",".9168487"
"p75_1lag","1.005164",".0002383"
"p77_1lag","1.035762",".0472241"
"mine_time",".9959182",".7697625"
"onsite_insp_hours","1.000781",".0000717"
"1.state","1.562189",".2700939"
"2.state","2.524455","0"
"3.state",".6477151",".2237066"
"4.state","1.914173",".0370112"
"5.state",".8272389",".4882063"
"6.state",".7224976",".0003164"
"7.state",".8308582",".5681353"
"8.state","1.395543",".0000787"
"9.state","2.432048","0"
"10.state",".6136519",".1942699"
"11.state",".6149781",".0540289"
"12.state","1.050402",".7762557"
"13.state","2.014583",".0583982"
"14.state",".6824654",".2177899"
"15.state",".5710555","1.68e-07"
"16.state","1","."
"17.state","1","."
"1.time","1.02367",".8675158"
"2.time","1","."
"3.time",".747135",".049035"
"4.time",".8126382",".2171636"
"5.time",".5360012",".0001016"
"6.time",".5531264",".0000748"
"7.time",".5940032",".0006471"
"8.time",".5730761",".0006069"
"9.time",".4475527","8.04e-07"
"10.time",".222199","0"
"11.time",".3080197","1.55e-10"
"12.time",".3824033","7.82e-08"
"13.time",".331594","9.11e-09"
"14.time",".2327706","2.93e-12"
"15.time",".1923732","7.53e-14"
"16.time",".2504715","3.61e-10"
"N","6242",""
