"","est1",""
"","b","p"
"dv","",""
"p47_c_lag_all","1.014839",".0810283"
"p48_c_lag_all","1.001126",".3394927"
"p71_c_lag_all",".9962772",".5237039"
"p72_c_lag_all","1.002938",".347148"
"p75_c_lag_all","1.000026",".0359823"
"p77_c_lag_all",".9992225",".117382"
"mine_time",".9888504",".150212"
"onsite_insp_hours",".9999454",".185139"
"1.state","1.045005",".6019184"
"2.state","1.959895","0"
"3.state",".7361687",".1212058"
"4.state","1.075437",".3352876"
"5.state",".8842244",".4393089"
"6.state",".9171434",".0921057"
"7.state",".9638975",".8711861"
"8.state",".9494723",".2611572"
"9.state",".7252692","2.06e-08"
"10.state",".956329",".7775431"
"11.state",".9031047",".6813419"
"12.state",".9370258",".4757974"
"13.state","1.28295",".1023071"
"14.state",".6036803",".0002726"
"15.state",".6652199","3.11e-08"
"16.state","1","."
"17.state","1.09191",".2354091"
"1.time","1.086214",".1683767"
"2.time","1","."
"3.time",".9828714",".7719689"
"4.time",".8797438",".0456175"
"5.time",".8890566",".0717904"
"6.time",".7781722",".0000712"
"7.time",".7815893",".0004543"
"8.time",".729016",".0000133"
"9.time",".6597485","6.09e-09"
"10.time",".5605515","2.49e-13"
"11.time",".564455","2.08e-12"
"12.time",".5960632","1.15e-10"
"13.time",".5989302","3.50e-10"
"14.time",".5210201","2.26e-12"
"15.time",".5056112","3.75e-12"
"16.time",".5236631","4.38e-10"
"N","6253",""
