"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_lag_all",".4331815",".059366"
"sp47_44_ss_c_lag_all","1","."
"sp48_11_ss_c_lag_all","1.086833",".212168"
"sp48_25_ss_c_lag_all",".918341",".1881324"
"sp48_26_ss_c_lag_all","1.121572",".0329761"
"sp48_27_ss_c_lag_all","1.033369",".4971153"
"sp48_28_ss_c_lag_all",".8841101",".0452214"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.007438",".9301561"
"sp48_6_ss_c_lag_all","1.037622",".527522"
"sp48_7_ss_c_lag_all","1.004608",".9376756"
"sp48_8_ss_c_lag_all","1.007428",".9375918"
"sp71_701_ss_c_lag_all","1","."
"sp72_503_ss_c_lag_all",".5779692",".0604909"
"sp72_610_ss_c_lag_all","1","."
"sp72_620_ss_c_lag_all",".8119711",".1579444"
"sp72_630_ss_c_lag_all",".99247",".2679567"
"sp75_100_ss_c_lag_all",".8861062",".6258539"
"sp75_1001_1_ss_c_lag_all","220.8705","1.43e-07"
"sp75_1001_ss_c_lag_all","1.335492",".0033473"
"sp75_1003_1_ss_c_lag_all","1","."
"sp75_1100_2_ss_c_lag_all","1.001496",".926838"
"sp75_1101_20_ss_c_lag_all","1","."
"sp75_1102_ss_c_lag_all",".977229",".4908461"
"sp75_1103_4_ss_c_lag_all",".9919973",".6956059"
"sp75_1104_ss_c_lag_all","1.008314",".932538"
"sp75_1106_2_ss_c_lag_all","1.004294",".9345147"
"sp75_1106_3_ss_c_lag_all","1.033541",".1089123"
"sp75_1106_4_ss_c_lag_all","1.257277",".082344"
"sp75_1106_5_ss_c_lag_all",".9302221",".0753145"
"sp75_1106_6_ss_c_lag_all",".4621971",".020841"
"sp75_1106_ss_c_lag_all","1.066565",".6759379"
"sp75_1107_14_ss_c_lag_all","1","."
"sp75_1400_1_ss_c_lag_all",".7538205",".2611271"
"sp75_1400_2_ss_c_lag_all","1","."
"sp75_1400_3_ss_c_lag_all",".7981741",".0463175"
"sp75_1400_4_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all",".9344424",".4021637"
"sp75_1401_ss_c_lag_all","1","."
"sp75_1403_10_ss_c_lag_all",".9950054",".8485825"
"sp75_1403_11_ss_c_lag_all","1","."
"sp75_1403_3_ss_c_lag_all","1","."
"sp75_1403_4_ss_c_lag_all","1","."
"sp75_1403_5_ss_c_lag_all",".978835",".060091"
"sp75_1403_6_ss_c_lag_all",".959443",".0015308"
"sp75_1403_7_ss_c_lag_all","1.01703",".7926226"
"sp75_1403_8_ss_c_lag_all",".9646957",".3101389"
"sp75_1403_9_ss_c_lag_all","1","."
"sp75_1404_1_ss_c_lag_all",".6584652",".0772759"
"sp75_1404_ss_c_lag_all","1","."
"sp75_1405_1_ss_c_lag_all",".6870533",".0011294"
"sp75_1405_ss_c_lag_all","1.09546",".0031043"
"sp75_1431_ss_c_lag_all","2.147733",".299819"
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all","1.037328",".902775"
"sp75_1434_ss_c_lag_all",".6976196",".0698994"
"sp75_1435_ss_c_lag_all",".1602909",".0049358"
"sp75_1437_ss_c_lag_all","1.117971",".7809555"
"sp75_150_ss_c_lag_all","1","."
"sp75_151_ss_c_lag_all",".6287374",".2009472"
"sp75_153_ss_c_lag_all","9.75e-06",".0216478"
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all",".5904919",".0045198"
"sp75_1600_2_ss_c_lag_all",".9565333",".6554831"
"sp75_1712_10_ss_c_lag_all",".8873352",".8226783"
"sp75_1712_6_ss_c_lag_all","1","."
"sp75_1720_ss_c_lag_all","1.002616",".9003798"
"sp75_1721_ss_c_lag_all","1.058604",".530575"
"sp75_1725_ss_c_lag_all","1.003188",".3712602"
"sp75_1726_ss_c_lag_all","1.100186",".18635"
"sp75_1727_ss_c_lag_all","1","."
"sp75_1728_ss_c_lag_all",".9762268",".79428"
"sp75_1729_ss_c_lag_all",".9013249",".4818637"
"sp75_1730_ss_c_lag_all",".8815439",".4134843"
"sp75_1731_ss_c_lag_all",".9960283",".3598879"
"sp75_1903_ss_c_lag_all",".6176629",".0144991"
"sp75_1909_ss_c_lag_all",".9782992",".0680522"
"sp75_1910_ss_c_lag_all","1.026801",".2859135"
"sp75_1911_ss_c_lag_all",".9878472",".6651679"
"sp75_1912_ss_c_lag_all","1.109613",".3423695"
"sp75_1913_ss_c_lag_all","1.316644",".0488722"
"sp75_1914_ss_c_lag_all","1.024304",".0597861"
"sp75_1915_ss_c_lag_all",".6178446",".0035896"
"sp75_202_ss_c_lag_all","1.002479",".0880817"
"sp75_208_ss_c_lag_all",".9953417",".6234571"
"sp75_211_ss_c_lag_all","1.015613",".3308333"
"sp75_212_ss_c_lag_all","1.070588",".1713189"
"sp75_214_ss_c_lag_all","1.141641",".1517769"
"sp75_312_ss_c_lag_all",".9149061",".2680572"
"sp75_320_ss_c_lag_all",".9422253",".5908882"
"sp75_324_ss_c_lag_all",".8947416",".0094496"
"sp75_337_ss_c_lag_all",".9221658",".1778564"
"sp75_340_ss_c_lag_all","1.025627",".1425833"
"sp75_342_ss_c_lag_all",".9993977",".9447873"
"sp75_344_ss_c_lag_all","1.010678",".9426865"
"sp75_352_ss_c_lag_all","1.100568",".1942185"
"sp75_382_ss_c_lag_all","1.049426",".7097532"
"sp75_503_ss_c_lag_all","1.001392",".5689757"
"sp75_504_ss_c_lag_all","1.029156",".7349452"
"sp75_505_ss_c_lag_all","1.005481",".9707887"
"sp75_506_1_ss_c_lag_all",".9346228",".4979775"
"sp75_506_ss_c_lag_all","1.341128",".0484788"
"sp75_507_ss_c_lag_all","1.023602",".635363"
"sp75_511_1_ss_c_lag_all",".7668461",".1351224"
"sp75_511_ss_c_lag_all","1.004005",".9031713"
"sp75_512_1_ss_c_lag_all",".953897",".9240103"
"sp75_512_2_ss_c_lag_all",".9523662",".2757132"
"sp75_512_ss_c_lag_all","1.003354",".5520664"
"sp75_513_1_ss_c_lag_all","1","."
"sp75_513_ss_c_lag_all",".8771867",".125681"
"sp75_514_ss_c_lag_all",".9693108",".1955172"
"sp75_515_ss_c_lag_all",".9918217",".6686674"
"sp75_516_1_ss_c_lag_all","1.549365",".1217599"
"sp75_516_2_ss_c_lag_all","2.072889",".0382465"
"sp75_516_ss_c_lag_all","1.001463",".9759753"
"sp75_517_1_ss_c_lag_all",".9112449",".7079562"
"sp75_517_ss_c_lag_all",".9984924",".4249828"
"sp75_518_1_ss_c_lag_all",".9284272",".0239359"
"sp75_518_ss_c_lag_all","1.023528",".2827344"
"sp75_519_ss_c_lag_all","8.987995",".6767076"
"sp75_520_ss_c_lag_all","1.045975",".0902448"
"sp75_523_1_ss_c_lag_all","1.015147",".3624133"
"sp75_523_2_ss_c_lag_all",".9918628",".4237756"
"sp75_523_ss_c_lag_all","1.001956",".8746542"
"sp75_600_1_ss_c_lag_all",".9696134",".7461561"
"sp75_600_ss_c_lag_all",".0027573","0"
"sp75_601_1_ss_c_lag_all","1.021694",".1154093"
"sp75_601_2_ss_c_lag_all","317.5546","0"
"sp75_601_3_ss_c_lag_all","1.05002",".8661726"
"sp75_601_ss_c_lag_all",".9804032",".2817877"
"sp75_602_ss_c_lag_all","1.025631",".5733594"
"sp75_603_ss_c_lag_all","1.069569",".3253594"
"sp75_604_ss_c_lag_all","1.000591",".8637385"
"sp75_605_ss_c_lag_all","1.039814",".0243855"
