"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41",".7239507",".0477511"
"sp48_11","1.206231",".3869565"
"sp71_701","1","."
"sp75_1001",".2283987",".0954417"
"sp75_1001_1","2.418489",".4986043"
"sp75_1003_1","1","."
"sp75_1400_1","1","."
"sp75_1401",".9198534",".8865446"
"sp75_1401_1","1","."
"sp75_1403_11","1","."
"sp75_1404_1","3.203165",".1323451"
"sp75_1405_1","1","."
"sp75_1431","1","."
"sp75_151",".9314066",".9238593"
"sp75_1721",".2692414",".1741151"
"sp75_1731",".9692556",".0185601"
"sp75_1911",".981769",".7335084"
"sp75_211",".9526128",".3968048"
"sp75_341",".0612179",".0398315"
"sp75_506_1","1.295059",".3762285"
"sp75_510_1","1","."
"sp75_511",".8235023",".1959424"
"sp75_511_1",".761213",".8318095"
"sp75_512_1","3.432435",".0760468"
"sp75_513_1","3.198257",".0245621"
"sp75_516_1","1.052279",".9145303"
"sp75_517_1","2.018267",".201969"
"sp75_518_1","1.15239",".0609136"
"sp75_523_1","1.154438",".0728112"
"sp75_600_1","3.797209",".0272798"
"sp75_601",".9729756",".6298067"
"sp75_601_1",".9681881",".4122692"
"sp75_700_1",".8797087",".7793925"
"sp75_701","1.043169",".3700416"
"sp75_701_1",".8953557",".4824921"
"sp75_702_1","1","."
"sp75_703_1","1","."
"sp75_705_1","5.963224",".2595515"
"sp75_801","1.255802",".7244612"
"sp75_811","1.023816",".8997566"
"sp75_821","3.030401",".0129824"
"sp75_831",".4437389",".5213659"
"sp75_901",".8379907",".5163264"
"sp75_902_1","4.326177",".0907934"
"sp77_1111",".1880613",".0109324"
"sp77_401",".9694985",".8737958"
"sp77_403_1","1.546605",".3838364"
"sp77_411",".0320912",".03658"
"sp77_501","1.342962",".4287382"
"sp77_502_1","1.70116",".6856965"
"sp77_503_1",".6927895",".6621572"
"sp77_506_1",".9038259",".3149476"
"sp77_508_1","1.146968",".6820391"
"sp77_511",".375926",".0761384"
"sp77_601",".2427792",".0679273"
"sp77_606_1","1","."
"sp77_700_1",".9764858",".9729818"
"sp77_701",".9343799",".4284385"
"sp77_701_1",".5755217",".1620185"
"sp77_704_1","1.886941",".3244192"
"sp77_800_1","1.091921",".8378183"
"sp77_801","1","."
"sp77_801_1","1","."
"sp77_807_1",".3279061",".0772935"
"sp77_900_1",".9325878",".9265023"
"sp77_901","1.781809",".2439534"
"sp77_901_1","1","."
"sp47_42",".4807736",".0488948"
"sp75_1100_2",".9884639",".6394"
"sp75_1102","1.014495",".8994655"
"sp75_1106_2",".8845505",".471196"
"sp75_1400_2",".5591146",".4471423"
"sp75_1402_2","1","."
"sp75_1432","1.41593",".6787641"
"sp75_1600_2",".8994902",".24333"
"sp75_1912",".8881733",".8002155"
"sp75_202","1.021703",".0383899"
"sp75_212",".7289501",".0989488"
"sp75_312","1.004447",".9416388"
"sp75_342",".9778967",".3467657"
"sp75_352","1.150946",".5613678"
"sp75_382","2.537692",".1429857"
"sp75_512",".9967099",".8199481"
"sp75_512_2","1.186737",".0077226"
"sp75_516_2","1.172199",".1415082"
"sp75_523_2","1.138361",".0499097"
"sp75_601_2","2.725232",".3121812"
"sp75_602",".9790763",".8576303"
"sp75_701_2","1.015892",".9526093"
"sp75_702",".3396458",".3330899"
"sp75_703_2","4.73244",".0599117"
"sp75_705_2","1","."
"sp75_800_2",".1854298",".0303817"
"sp75_802",".6290469",".1817791"
"sp75_803_2","1","."
"sp75_812",".1693245",".0028891"
"sp75_832",".0959451",".0920898"
"sp75_900_2",".2169757",".0654083"
"sp75_902","1.052154",".4132932"
"sp75_902_2","1.02189",".9463222"
"sp77_1112","1.722369",".5326847"
"sp77_1432","1","."
"sp77_1802","1","."
"sp77_202",".7645383",".0007868"
"sp77_402","1.10302",".5087232"
"sp77_403_2","1","."
"sp77_412","1.794788",".1675003"
"sp77_502",".9843299",".7184907"
"sp77_502_2","1.046322",".8165939"
"sp77_512","1.016198",".8727061"
"sp77_602",".9321536",".9109877"
"sp77_701_2",".7312982",".2157687"
"sp77_702","1","."
"sp77_800_2","1.260628",".3652472"
"sp77_802",".1812163",".0122916"
"sp77_807_2","1.703786",".5855007"
"sp77_900_2",".9852556",".9574264"
"sp77_902","1.030177",".9603939"
"sp77_902_2","1","."
"sp47_43","1","."
"sp72_503",".61426",".0611341"
"sp75_1106_3","1.039218",".5585474"
"sp75_1400_3","1.217434",".5781581"
"sp75_1403_3","1","."
"sp75_1433",".9099819",".8444329"
"sp75_153","3.403774",".3026006"
"sp75_1903","3.552487",".134829"
"sp75_1913","1.097851",".6549451"
"sp75_503","1.027903",".0075534"
"sp75_513",".9033377",".5733773"
"sp75_523",".8746477",".0505121"
"sp75_601_3","1.815481",".3244447"
"sp75_603","1.362728",".1515462"
"sp75_701_3",".9113823",".8263991"
"sp75_703","1.342244",".0029436"
"sp75_703_3","1.099751",".4582575"
"sp75_705_3","1","."
"sp75_800_3","1.013574",".962059"
"sp75_803",".8116515",".356441"
"sp75_900_3",".833271",".3945052"
"sp75_903","1.306671",".0241119"
"sp77_103","1","."
"sp77_1103","1.040435",".6566515"
"sp77_1403","2.074047",".2479158"
"sp77_1433",".4193965",".1487235"
"sp77_203",".1579646",".1091358"
"sp77_403","4.361107",".0340111"
"sp77_413","1","."
"sp77_503",".7030197",".2355704"
"sp77_513",".9591312",".6683869"
"sp77_603","14.84097",".0129102"
"sp77_701_3","3.778557",".2201662"
"sp77_703","1","."
"sp77_803","1.597275",".6751599"
"sp77_807_3","2.301757",".3638239"
"sp77_902_3","1.612027",".3346566"
"sp77_903",".5598179",".275385"
"sp47_44","1.050725",".8633755"
"sp48_24","1","."
"sp48_4",".7918925",".8448595"
"sp75_1103_4","1.018869",".6346679"
"sp75_1104",".8979959",".4330027"
"sp75_1106_4",".8484172",".7109343"
"sp75_1107_14",".6755931",".7763722"
"sp75_1400_4","1.437049",".5761301"
"sp75_1403_4","1","."
"sp75_1404",".9450567",".9458508"
"sp75_1434",".7146088",".5922938"
"sp75_1914","1.048746",".3365128"
"sp75_214","1.146665",".2422963"
"sp75_324",".9713927",".9293408"
"sp75_344",".4709893",".0404607"
"sp75_504",".8063112",".2507769"
"sp75_514","1.115349",".0656785"
"sp75_604","1.053988",".035644"
"sp75_701_4","1.342601",".6602519"
"sp75_703_4","1","."
"sp75_704","1.734115",".2388957"
"sp75_800_4",".8399665",".373558"
"sp75_804","1.036762",".8818706"
"sp75_814","1","."
"sp75_834","1","."
"sp75_900_4","1.121311",".3441624"
"sp75_902_4","1.217547",".2691998"
"sp75_904","1.125516",".0020985"
"sp77_104","1","."
"sp77_1104","1.00956",".7754095"
"sp77_1434","1","."
"sp77_204",".9325065",".720465"
"sp77_314","1","."
"sp77_404","1.016736",".5388189"
"sp77_504",".794803",".0960421"
"sp77_514",".0049334","1.23e-06"
"sp77_604","1.147794",".7329451"
"sp77_701_4","1.481736",".4207711"
"sp77_704",".4634406",".2104086"
"sp77_804","1","."
"sp77_904",".9157418",".4094996"
"sp48_25","1.15197",".6852027"
"sp48_5","1.178459",".6069651"
"sp75_1106_5","1.193327",".1943653"
"sp75_1403_5",".9934008",".9452087"
"sp75_1405",".9949629",".9681491"
"sp75_1435",".1572763",".1257816"
"sp75_155","1","."
"sp75_1725","1.040905",".0443406"
"sp75_1915","1.597716",".1420316"
"sp75_505","1.207676",".6710618"
"sp75_515",".937442",".0670205"
"sp75_605",".9136344",".1163502"
"sp75_701_5",".779408",".677666"
