"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_c_lag_all","1.000495",".1300455"
"p75_pp_c_lag_all","1.000005",".0295314"
"mine_time","1.001855",".6046314"
"onsite_insp_hours","1.002199",".0000128"
"1.state","1.160142",".6713685"
"3.state","1.088883",".5755752"
"4.state","5.418749",".0000918"
"5.state","1.798712",".1347836"
"6.state","1","."
"7.state","1.999673",".0395127"
"9.state","1","."
"10.state","1.146108",".5755936"
"11.state","2.216492",".0057598"
"12.state","1.563968",".0093777"
"13.state","1.173826",".5952545"
"14.state",".4040103",".0218305"
"15.state",".9645165",".77808"
"16.state","1.462117",".0011694"
"17.state","1","."
"29.time","1.167992",".3771046"
"30.time","1.021983",".9016042"
"31.time","1.267195",".1774928"
"32.time","1.04874",".789985"
"33.time","1.027478",".8862809"
"34.time","1.057497",".7520439"
"35.time",".995707",".9792061"
"36.time","1","."
"37.time","1.131948",".5132464"
"38.time","1.166191",".441365"
"39.time",".9230994",".6759481"
"40.time","1.023619",".9006391"
"41.time",".9796456",".9197171"
"42.time","1.006277",".9737897"
"43.time","1.386359",".1062279"
"44.time",".8519979",".4474124"
"45.time",".9664877",".8635978"
"46.time",".9111592",".6439909"
"47.time","1.177539",".4365143"
"48.time",".9511588",".8174388"
"49.time",".7557429",".1765212"
"50.time","1.020662",".9239721"
"51.time",".917434",".6920453"
"52.time",".3985682",".0000152"
"53.time",".8191164",".3782683"
"54.time",".7956389",".3331958"
"55.time",".6365188",".0501626"
"56.time",".4816343",".0019273"
"57.time",".6528705",".090461"
"58.time",".5531627",".0168245"
"59.time",".6010981",".0403109"
"60.time",".8769776",".6095366"
"61.time",".6334532",".0648025"
"62.time",".3919194",".000229"
"63.time",".7168649",".2060099"
"64.time",".4425188",".0027915"
"65.time",".2836304",".0000743"
"N","9036",""
