"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss","1.088509",".3515173"
"p75_ss","1.029702","1.27e-11"
"mine_time","1.002867",".217517"
"onsite_insp_hours","1.003458","5.62e-14"
"1.state","1.197254",".6041838"
"2.state","1.87409","0"
"3.state","1.815079",".0003307"
"4.state","3.723324","6.91e-06"
"5.state","1.675195",".0065381"
"6.state","1","."
"7.state","1.579779",".0320415"
"8.state",".4771259","0"
"9.state","2.375589","0"
"10.state","1.390013",".0737017"
"11.state","3.58174",".0014514"
"12.state","1.713001","3.77e-07"
"13.state","2.222147","7.29e-06"
"14.state",".5006041",".0107449"
"15.state","1.073842",".3188213"
"16.state","1.720463","4.44e-16"
"17.state","3.025958","7.73e-07"
"1.time",".9348579",".6207573"
"2.time","1.345798",".0331999"
"3.time","1.412648",".0118276"
"4.time",".7257623",".0126954"
"5.time",".8097814",".110524"
"6.time","1","."
"7.time","1.052516",".6981606"
"8.time",".8613697",".2697286"
"9.time",".9075418",".5003325"
"10.time",".738379",".0325891"
"11.time","1.059783",".6885148"
"12.time",".7453084",".0439104"
"13.time",".7629272",".0708129"
"14.time",".8562164",".3200412"
"15.time","1.250074",".1502821"
"16.time",".6408076",".0031506"
"17.time",".6912155",".0129921"
"18.time",".649108",".0029145"
"19.time",".7319362",".0345532"
"20.time",".5543847",".0000428"
"21.time",".5730758",".0001544"
"22.time",".6154255",".0012316"
"23.time",".6826037",".0081798"
"24.time",".4672802","2.09e-07"
"25.time",".6132694",".0012589"
"26.time",".5314968",".0000224"
"27.time",".624129",".0013999"
"28.time",".5436201",".000084"
"29.time",".4585499","1.97e-07"
"30.time",".4914844","2.10e-06"
"31.time",".5684807",".0001934"
"32.time",".4192859","9.22e-09"
"33.time",".4581208","5.39e-07"
"34.time",".4526371","4.50e-07"
"35.time",".4156162","5.81e-09"
"36.time",".3720045","8.52e-11"
"37.time",".4224638","3.05e-08"
"38.time",".4294539","2.27e-07"
"39.time",".4107326","5.45e-08"
"40.time",".3444664","5.49e-11"
"41.time",".3975936","5.64e-08"
"42.time",".362672","2.19e-10"
"43.time",".5138936",".0000769"
"44.time",".3224507","9.87e-12"
"45.time",".3639823","1.07e-09"
"46.time",".4254962","5.54e-07"
"47.time",".5094088",".0000364"
"48.time",".3488069","2.19e-10"
"49.time",".3620029","7.05e-10"
"50.time",".3941368","1.23e-08"
"51.time",".352577","3.18e-09"
"52.time",".1880933","0"
"53.time",".3118438","8.97e-11"
"54.time",".3246358","2.89e-10"
"55.time",".3337683","5.23e-09"
"56.time",".2245411","9.10e-15"
"57.time",".2464397","3.40e-12"
"58.time",".237893","1.27e-13"
"59.time",".2728356","5.12e-11"
"60.time",".3162331","7.11e-09"
"61.time",".2652065","3.83e-11"
"62.time",".2091442","6.88e-15"
"63.time",".3640307","8.08e-07"
"64.time",".2361863","6.74e-12"
"65.time",".1573895","1.44e-14"
"N","28337",""
