"","est1",""
"","b","p"
"dv","",""
"p48_c_4lag","1.000343",".9447936"
"p75_c_4lag","1.000481",".0058593"
"mine_time","1.000461",".7460783"
"onsite_insp_hours",".999333","4.26e-07"
"1.state","1.015516",".8726291"
"2.state","1.852058","0"
"3.state",".7363039",".0135289"
"4.state","1.270858",".0000674"
"5.state","1.082385",".4094653"
"6.state","1","."
"7.state","1.261534",".130716"
"8.state",".5704428","0"
"9.state",".7392952","4.91e-14"
"10.state",".9560151",".5850882"
"11.state","1.61378",".0058966"
"12.state","1.290286",".0032287"
"13.state","1.653563",".0000276"
"14.state",".4936277",".0000829"
"15.state",".9018454",".0672474"
"16.state","1.204093",".0002207"
"17.state",".7571116","1.21e-13"
"4.time","1.454745","1.31e-06"
"5.time","1.490832","2.12e-07"
"6.time","1.663915","6.09e-08"
"7.time","1.929049","1.55e-15"
"8.time","1.554428","8.94e-08"
"9.time","1.685514","2.48e-08"
"10.time","1.648134","1.94e-09"
"11.time","1.742294","4.20e-11"
"12.time","1.463993","2.70e-07"
"13.time","1.354269",".0000566"
"14.time","1.494522","9.22e-07"
"15.time","1.628604","3.13e-11"
"16.time","1.238987",".0064479"
"17.time","1.295802",".0011186"
"18.time","1.36327",".0000199"
"19.time","1.507618","1.69e-08"
"20.time","1.222213",".010973"
"21.time","1.188355",".0185401"
"22.time","1.284511",".00031"
"23.time","1.405057","1.50e-06"
"24.time","1.166206",".0456515"
"25.time","1.232327",".0038033"
"26.time","1.198024",".0139247"
"27.time","1.435056","7.34e-08"
"28.time","1.102674",".1740132"
"29.time","1.090219",".203396"
"30.time","1.141305",".0851071"
"31.time","1.390464","4.77e-06"
"32.time","1.201547",".0046116"
"33.time","1.086799",".1888384"
"34.time","1.074171",".2885988"
"35.time","1.219872",".0008523"
"36.time","1","."
"37.time",".970846",".6049324"
"38.time",".9473195",".4251423"
"39.time","1.083287",".1856555"
"40.time",".9161578",".1840092"
"41.time",".9187723",".2530569"
"42.time",".9233219",".3771755"
"43.time","1.153813",".0340563"
"44.time",".9064817",".1708218"
"45.time",".910611",".1546772"
"46.time",".8619027",".0277373"
"47.time",".9974452",".9667052"
"48.time",".7715559",".0000876"
"49.time",".8608309",".0341084"
"50.time",".7554164",".0000181"
"51.time",".8833671",".0978504"
"52.time",".682327","1.29e-06"
"53.time",".7685268",".000415"
"54.time",".7376836",".0001077"
"55.time",".8598024",".0587681"
"56.time",".6334582","6.20e-08"
"57.time",".7330403",".0000852"
"58.time",".7642036",".0012484"
"59.time",".8154606",".0098114"
"60.time",".7877603",".0027144"
"61.time",".7067381",".0000169"
"62.time",".6635639","3.52e-07"
"63.time",".8852138",".1419171"
"64.time",".694816",".000132"
"65.time",".734491",".00151"
"N","22446",""
