"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss","1.50201",".1411265"
"sp48_25_ss","1.025637",".930804"
"sp48_26_ss","1.363979",".1303026"
"sp48_27_ss",".7186617",".2088328"
"sp48_28_ss",".864385",".6311124"
"sp48_4_ss","1","."
"sp48_5_ss","1.490769",".3369572"
"sp48_6_ss",".9667853",".8682443"
"sp48_7_ss","2.061874",".0085268"
"sp48_8_ss","1.759939",".1577036"
"sp75_100_ss","4.731426",".0596644"
"sp75_1002_ss",".8334422",".5636056"
"sp75_1003_ss",".9635067",".8960521"
"sp75_1003_2_ss","1","."
"sp75_1311_ss",".4563687",".1850293"
"sp75_1315_ss","1.145877",".883342"
"sp75_1316_ss",".3720082",".0104977"
"sp75_1318_ss","1","."
"sp75_1322_ss","1","."
"sp75_1400_ss","2.609409",".1399078"
"sp75_1400_1_ss",".1151191",".0247669"
"sp75_1403_10_ss","2.233641",".0113218"
"sp75_1403_5_ss","1.238001",".1022221"
"sp75_1403_6_ss","1.181256",".0915172"
"sp75_1403_7_ss",".6765909",".2431286"
"sp75_1403_8_ss",".9922409",".9730743"
"sp75_1404_ss","1","."
"sp75_1404_1_ss","1.571766",".4918022"
"sp75_1405_ss","1.159202",".4850648"
"sp75_1405_1_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1719_2_ss",".0607305",".0011125"
"sp75_1719_4_ss",".8721611",".6609761"
"sp75_1720_ss","1.089894",".3830759"
"sp75_1725_ss","1.029351",".2035848"
"sp75_1906_ss","1","."
"sp75_1916_ss","1.422039",".4961957"
"sp75_203_ss",".9991582",".9867437"
"sp75_204_ss","1.331989",".0083563"
"sp75_205_ss","1.777187",".4137274"
"sp75_207_ss","1.905395",".2423297"
"sp75_208_ss","1.065401",".2891505"
"sp75_209_ss","1.078148",".6684339"
"sp75_212_ss",".7813879",".249088"
"sp75_213_ss","3.407378",".1918349"
"sp75_215_ss",".0142922",".0112102"
"sp75_332_ss",".7399253",".4637068"
"sp75_334_ss",".9293381",".6614048"
"sp75_337_ss",".7390735",".1720495"
"sp75_340_ss","1.128656",".2406167"
"sp75_343_ss",".6671277",".5447793"
"sp75_373_ss","1","."
"sp75_388_ss","1.307184",".1329175"
"sp75_389_ss","1.10268",".8783771"
"sp75_500_ss","1.344006",".2942569"
"sp75_500_1_ss","1","."
"sp75_501_ss",".5057106",".2019936"
"sp75_501_2_ss","1.141826",".8174202"
"sp75_502_ss","2.037505",".3902938"
"sp75_503_ss","1.07998",".0166644"
"sp75_505_ss","2.418007",".2923977"
"sp75_506_1_ss","2.024877",".4380316"
"sp75_507_ss","1.002188",".9942916"
"sp75_507_1_ss",".9119911",".6526852"
"sp75_509_ss","3.207205",".093902"
"sp75_512_1_ss",".7245891",".6764551"
"sp75_523_ss",".9066263",".2215688"
"sp75_523_3_ss",".9796525",".6276433"
"sp75_524_ss","1","."
"sp75_602_ss",".7897691",".2290742"
"sp75_603_ss","1.143722",".6018098"
"sp75_604_ss","1.043374",".1480847"
"sp75_605_ss","1.311841",".0208198"
"sp75_606_ss","1.004486",".9385223"
"sp75_607_ss",".7300152",".0738733"
"sp75_703_3_ss",".6533459",".23355"
"sp75_807_ss","1.039253",".6751468"
"sp75_810_ss","1.236987",".6021795"
"sp75_811_ss",".3031977",".0033057"
"sp75_812_ss",".2176944",".0119653"
"sp75_816_ss","1.021712",".955865"
"sp75_817_ss","1","."
"sp75_906_ss",".40512",".0933941"
"mine_time","1.002935",".2090727"
"onsite_insp_hours","1.004175","0"
"1.state","1.164468",".6600928"
"2.state","1.870827","0"
"3.state","1.772376",".0005244"
"4.state","3.588641",".0000114"
"5.state","1.630366",".0116967"
"6.state","1","."
"7.state","1.601022",".0236364"
"8.state",".4291606","0"
"9.state","2.358999","0"
"10.state","1.383742",".0742907"
"11.state","3.627313",".0012754"
"12.state","1.632566","3.80e-06"
"13.state","2.212559","4.23e-06"
"14.state",".4918689",".0126113"
"15.state","1.09995",".1880596"
"16.state","1.725263","4.44e-16"
"17.state","2.908894","2.14e-06"
"1.time",".9406315",".6528666"
"2.time","1.341444",".0363229"
"3.time","1.403841",".0146146"
"4.time",".7427631",".0221645"
"5.time",".8167007",".1310472"
"6.time","1","."
"7.time","1.052133",".7003471"
"8.time",".8692453",".2982474"
"9.time",".8960114",".4490592"
"10.time",".7221187",".0222206"
"11.time","1.042389",".7751896"
"12.time",".7332032",".0338029"
"13.time",".7642549",".0731308"
"14.time",".8394164",".2640332"
"15.time","1.226239",".1914683"
"16.time",".6361593",".0027653"
"17.time",".6854611",".0118116"
"18.time",".6517934",".0031757"
"19.time",".7139775",".023745"
"20.time",".5507832",".000036"
"21.time",".5735476",".0001697"
"22.time",".611568",".0011104"
"23.time",".6657778",".005242"
"24.time",".4609375","1.52e-07"
"25.time",".6115716",".0013122"
"26.time",".5369079",".0000286"
"27.time",".6206655",".0012962"
"28.time",".5386167",".0000602"
"29.time",".4582179","2.29e-07"
"30.time",".4936876","2.55e-06"
"31.time",".5560634",".000111"
"32.time",".4176332","9.22e-09"
"33.time",".440845","2.18e-07"
"34.time",".4482768","3.62e-07"
"35.time",".4137253","6.96e-09"
"36.time",".3665729","4.93e-11"
"37.time",".4200978","2.53e-08"
"38.time",".4283228","2.69e-07"
"39.time",".4111841","5.86e-08"
"40.time",".3494786","1.20e-10"
"41.time",".4031939","8.16e-08"
"42.time",".3725616","6.94e-10"
"43.time",".5354772",".0001804"
"44.time",".3219965","9.18e-12"
"45.time",".3606264","8.50e-10"
"46.time",".4274949","7.07e-07"
"47.time",".5084446",".0000367"
"48.time",".3438422","1.74e-10"
"49.time",".3572691","6.04e-10"
"50.time",".3864693","6.85e-09"
"51.time",".3471233","2.22e-09"
"52.time",".1796827","0"
"53.time",".2930321","1.19e-11"
"54.time",".306241","4.35e-11"
"55.time",".3184636","1.43e-09"
"56.time",".2191407","3.11e-15"
"57.time",".2306093","3.02e-13"
"58.time",".2242692","1.42e-14"
"59.time",".2574706","9.61e-12"
"60.time",".2981449","1.41e-09"
"61.time",".2497063","6.75e-12"
"62.time",".1951134","4.44e-16"
"63.time",".3378826","1.23e-07"
"64.time",".2172113","7.14e-13"
"65.time",".1392234","8.88e-16"
"N","28293",""
