"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss","1.085819",".2117826"
"sp48_25_ss",".8462388",".0387301"
"sp48_26_ss","1.211762",".0243687"
"sp48_27_ss",".9869051",".8734163"
"sp48_28_ss",".8691986",".1962279"
"sp48_4_ss",".504913","8.22e-07"
"sp48_5_ss","1.3716",".0341819"
"sp48_6_ss","1.126982",".2337265"
"sp48_7_ss","1.11406",".1025825"
"sp48_8_ss","1.077622",".5981677"
"sp75_100_ss","1.046109",".8619175"
"sp75_1002_ss",".9454515",".2817001"
"sp75_1003_ss",".8583484",".0046659"
"sp75_1003_2_ss",".9351817",".4222464"
"sp75_1311_ss",".8522307",".2275482"
"sp75_1315_ss","1.518183",".3423702"
"sp75_1316_ss",".8865939",".5966102"
"sp75_1318_ss","3.423139","0"
"sp75_1322_ss","4.400182","0"
"sp75_1400_ss","1.106448",".0959195"
"sp75_1400_1_ss",".7043898",".4323822"
"sp75_1403_10_ss","1.084119",".0047049"
"sp75_1403_5_ss",".945946",".0109634"
"sp75_1403_6_ss",".9845478",".2867095"
"sp75_1403_7_ss","1.050011",".4631512"
"sp75_1403_8_ss",".9440395",".0010677"
"sp75_1404_ss","1.630304",".348229"
"sp75_1404_1_ss",".8846941",".3323465"
"sp75_1405_ss",".9524808",".0146575"
"sp75_1405_1_ss","1.227576",".8443943"
"sp75_153_ss","1.059277",".5666396"
"sp75_155_ss",".6197886",".0000322"
"sp75_156_ss","1.108883",".5811474"
"sp75_1719_2_ss","1.00384",".9931562"
"sp75_1719_4_ss","1.040233",".6998389"
"sp75_1720_ss","1.129801",".0008871"
"sp75_1725_ss","1.010495",".177892"
"sp75_1906_ss","1.218993",".4726854"
"sp75_1916_ss","1.135527",".1215874"
"sp75_203_ss","1.02006",".3295584"
"sp75_204_ss","1.111905",".0011793"
"sp75_205_ss","1.468684",".0182696"
"sp75_207_ss","1.860525",".3015333"
"sp75_208_ss","1.06598",".0022868"
"sp75_209_ss","1.085608",".2449396"
"sp75_212_ss","1.141986",".0018988"
"sp75_213_ss","1.018208",".6279958"
"sp75_215_ss",".9791065",".9287313"
"sp75_332_ss",".7965974",".0193673"
"sp75_334_ss",".9979056",".96617"
"sp75_337_ss",".9791656",".586521"
"sp75_340_ss","1.010637",".6320518"
"sp75_343_ss",".9399095",".6546321"
"sp75_373_ss","7.80e-07","0"
"sp75_388_ss","1.206763",".0142983"
"sp75_389_ss","1.16016",".5928736"
"sp75_500_ss",".9581376",".6383887"
"sp75_500_1_ss",".7511205",".4939588"
"sp75_501_ss","1.084289",".6063965"
"sp75_501_2_ss","1.387741",".2823496"
"sp75_502_ss","1.147309",".5295865"
"sp75_503_ss","1.026203",".0180409"
"sp75_505_ss",".6034523",".0495674"
"sp75_506_1_ss","1.119478",".6194572"
"sp75_507_ss",".9959433",".9641291"
"sp75_507_1_ss","1.05194",".2497135"
"sp75_509_ss","1.348919",".0063656"
"sp75_512_1_ss","1.609637",".0243068"
"sp75_523_ss",".9295974",".035636"
"sp75_523_3_ss",".9803193",".2599434"
"sp75_524_ss",".9786103",".9001948"
"sp75_602_ss","1.071882",".4668224"
"sp75_603_ss","1.133929",".0403971"
"sp75_604_ss","1.015801",".0639117"
"sp75_605_ss","1.054123",".1950755"
"sp75_606_ss","1.020383",".3579634"
"sp75_607_ss",".9846805",".8153114"
"sp75_703_3_ss","1.010795",".8840295"
"sp75_807_ss","1.008207",".7693923"
"sp75_810_ss","1.136526",".2264749"
"sp75_811_ss",".717108",".0360927"
"sp75_812_ss",".9614461",".8305902"
"sp75_816_ss",".9753057",".7847016"
"sp75_817_ss","1.664845",".4714707"
"sp75_906_ss",".4461879",".0035837"
"mine_time","1.001894",".1413895"
"onsite_insp_hours",".9994798",".0000196"
"1.state","1.034413",".7225622"
"2.state","1.706993","0"
"3.state",".7851974",".0456693"
"4.state","1.315592","1.16e-06"
"5.state","1.108749",".2349502"
"6.state","1","."
"7.state","1.257207",".1408587"
"8.state",".5478526","0"
"9.state",".7645569","2.21e-12"
"10.state","1.060554",".5011279"
"11.state","1.860655",".0005335"
"12.state","1.304513",".0004386"
"13.state","1.727928","2.00e-09"
"14.state",".5030505",".0000309"
"15.state",".9374411",".2222642"
"16.state","1.257174","1.94e-07"
"17.state",".807158",".0000441"
"1.time",".9455548",".4291353"
"2.time","1.093319",".2098785"
"3.time","1.213142",".0034425"
"4.time",".834106",".0116425"
"5.time",".8411579",".0108272"
"6.time","1","."
"7.time","1.091014",".1501803"
"8.time",".8844491",".0505812"
"9.time",".9600063",".6068829"
"10.time",".9345928",".3064403"
"11.time","1.013162",".8436973"
"12.time",".8310743",".0117025"
"13.time",".7838525",".0013747"
"14.time",".8406528",".0319881"
"15.time",".9581394",".5519957"
"16.time",".6869956","2.24e-07"
"17.time",".7341952",".0000577"
"18.time",".7825309",".001292"
"19.time",".8390099",".0163049"
"20.time",".6758864","1.45e-08"
"21.time",".6717945","5.88e-08"
"22.time",".7260946",".0000143"
"23.time",".7842648",".000662"
"24.time",".6529342","6.90e-08"
"25.time",".7091462",".0000169"
"26.time",".6800996","1.14e-06"
"27.time",".782327",".0022428"
"28.time",".6267187","1.12e-08"
"29.time",".6273617","1.22e-08"
"30.time",".6601271","1.80e-06"
"31.time",".7779964",".0036023"
"32.time",".6365262","3.59e-08"
"33.time",".6098378","2.19e-10"
"34.time",".6029641","9.51e-10"
"35.time",".6611414","1.74e-06"
"36.time",".5334408","2.08e-13"
"37.time",".548267","1.07e-13"
"38.time",".5434329","2.25e-12"
"39.time",".600788","3.33e-09"
"40.time",".51568","8.88e-15"
"41.time",".521441","2.35e-13"
"42.time",".5201879","5.95e-11"
"43.time",".641838","6.42e-08"
"44.time",".5028758","4.66e-15"
"45.time",".5082338","2.22e-15"
"46.time",".4819115","0"
"47.time",".558705","6.27e-13"
"48.time",".4312077","0"
"49.time",".478267","0"
"50.time",".4142504","0"
"51.time",".4771036","4.44e-16"
"52.time",".3737341","0"
"53.time",".4250024","0"
"54.time",".4064847","0"
"55.time",".4721503","1.11e-15"
"56.time",".3584058","0"
"57.time",".4020155","0"
"58.time",".4186084","0"
"59.time",".4399416","0"
"60.time",".4352239","0"
"61.time",".3944612","0"
"62.time",".3682389","0"
"63.time",".4801418","2.91e-14"
"64.time",".3819927","0"
"65.time",".406123","4.44e-16"
"N","28337",""
