"","est1",""
"","b","p"
"dv","",""
"sp48_11_c_lag_all","1.060814",".0560719"
"sp75_1311_c_lag_all",".9718177",".7405262"
"sp75_1400_1_c_lag_all",".9217199",".5131958"
"sp75_1404_1_c_lag_all",".6611609",".0000451"
"sp75_1405_1_c_lag_all",".9288064",".4684282"
"sp75_500_1_c_lag_all",".8074402",".1468897"
"sp75_501_c_lag_all","1.106281",".0289325"
"sp75_506_1_c_lag_all","1.093",".0180767"
"sp75_507_1_c_lag_all","1.009812",".4195058"
"sp75_508_1_c_lag_all",".8708539",".4359987"
"sp75_512_1_c_lag_all",".7731876",".0204176"
"sp75_811_c_lag_all",".9905659",".6291341"
"sp75_1002_c_lag_all","1.027657",".0325363"
"sp75_1003_2_c_lag_all","1.016508",".7719036"
"sp75_1322_c_lag_all","3.076237","1.46e-06"
"sp75_1719_2_c_lag_all","1.072225",".3130037"
"sp75_212_c_lag_all","1.017308",".1677465"
"sp75_332_c_lag_all",".9266445",".1172246"
"sp75_501_2_c_lag_all",".9876198",".8215453"
"sp75_502_c_lag_all",".9317577",".3880146"
"sp75_602_c_lag_all","1.003058",".8155611"
"sp75_812_c_lag_all",".8774496",".1210664"
"sp75_1003_c_lag_all","1.00888",".1973483"
"sp75_153_c_lag_all","1.204922",".123326"
"sp75_203_c_lag_all",".9956941",".3932703"
"sp75_213_c_lag_all","1.367682",".0000242"
"sp75_343_c_lag_all",".9745875",".4942127"
"sp75_373_c_lag_all","1.013966",".9647858"
"sp75_503_c_lag_all",".9982445",".0972738"
"sp75_523_c_lag_all",".9803503",".1114645"
"sp75_523_3_c_lag_all",".9974168",".4103287"
"sp75_603_c_lag_all",".9928967",".7657622"
"sp75_703_3_c_lag_all","1.054254",".0915331"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1.08e-08","0"
"sp75_1404_c_lag_all","1.079933",".6260977"
"sp75_1719_4_c_lag_all","1.022116",".2319474"
"sp75_204_c_lag_all","1.001449",".8518543"
"sp75_334_c_lag_all",".9668567",".0519151"
"sp75_524_c_lag_all",".9912482",".9466055"
"sp75_604_c_lag_all","1.000818",".5550514"
"sp75_703_4_c_lag_all","1.713398",".0000687"
"sp48_25_c_lag_all",".8831346",".0008256"
"sp48_5_c_lag_all","1.087176",".1022519"
"sp75_1315_c_lag_all",".922591",".7686872"
"sp75_1403_5_c_lag_all",".9954194",".0427881"
"sp75_1405_c_lag_all","1.007521",".3504755"
"sp75_155_c_lag_all",".6404869",".1459547"
"sp75_1725_c_lag_all",".9977336",".0553939"
"sp75_205_c_lag_all","1.368855",".0006611"
"sp75_215_c_lag_all","1.03205",".8253424"
"sp75_505_c_lag_all","1.021341",".8138959"
"sp75_605_c_lag_all",".9990097",".9135884"
"sp48_26_c_lag_all","1.021159",".589371"
"sp48_6_c_lag_all","1.04572",".1808235"
"sp75_1316_c_lag_all",".9350428",".5906529"
"sp75_1403_6_c_lag_all",".9998617",".9532259"
"sp75_156_c_lag_all",".5218856",".0132498"
"sp75_1906_c_lag_all","1.018598",".1841311"
"sp75_1916_c_lag_all",".9889859",".5337866"
"sp75_606_c_lag_all",".999393",".7873325"
"sp75_816_c_lag_all","1.00895",".5574548"
"sp75_906_c_lag_all",".8456946",".0826918"
"sp48_27_c_lag_all",".9883639",".7378271"
"sp48_7_c_lag_all",".9396033",".0325557"
"sp75_1403_7_c_lag_all",".9985822",".9355159"
"sp75_207_c_lag_all","1.21748",".0797519"
"sp75_327_c_lag_all",".9065288",".717712"
"sp75_337_c_lag_all",".9890963",".5933739"
"sp75_507_c_lag_all","1.0228",".329802"
"sp75_607_c_lag_all",".9998366",".9935718"
"sp75_807_c_lag_all","1.006927",".0180519"
"sp75_817_c_lag_all",".9299217",".6145873"
"sp48_28_c_lag_all",".9646126",".1670193"
"sp48_8_c_lag_all","1.013473",".7836898"
"sp75_1318_c_lag_all","1.056008",".7465405"
"sp75_1403_8_c_lag_all",".9959243",".0212608"
"sp75_208_c_lag_all","1.007462",".2454829"
"sp75_388_c_lag_all","1.06028",".091282"
"sp75_209_c_lag_all",".9843221",".5721996"
"sp75_389_c_lag_all","1.013316",".8792992"
"sp75_509_c_lag_all","1.105856",".1344969"
"sp75_100_c_lag_all","1.194057",".0800342"
"sp75_1400_c_lag_all","1.022745",".0735432"
"sp75_1403_10_c_lag_all","1.008666",".0553734"
"sp75_160_c_lag_all","1.136848",".5148825"
"sp75_1720_c_lag_all","1.012551",".497278"
"sp75_340_c_lag_all",".9902185",".0023458"
"sp75_500_c_lag_all","1.039818",".205273"
"sp75_510_c_lag_all","1.359264",".1148194"
"sp75_810_c_lag_all","1.03343",".0678657"
"mine_time","1.003992",".0943738"
"onsite_insp_hours",".9997821",".0406169"
"1.state",".8754116",".4354278"
"3.state",".8273397",".1050479"
"4.state","1.312199",".0006941"
"5.state","1.202738",".0823688"
"6.state","1","."
"7.state","1.530122",".0119012"
"8.state","1.42e-08","0"
"9.state",".8395796",".1434863"
"10.state","1.170194",".1622989"
"11.state","2.837116","2.02e-07"
"12.state","1.377295",".0002022"
"13.state","1.640543",".0000246"
"14.state",".4841004","1.13e-06"
"15.state",".9587243",".4362321"
"16.state","1.240205","9.75e-06"
"17.state",".9673281",".8135536"
"1.time","1","."
"2.time","1.156348",".0059912"
"3.time","1.265542",".000011"
"4.time",".8827043",".0362424"
"5.time",".8924877",".0595096"
"6.time",".9901124",".8793123"
"7.time","1.173825",".0120666"
"8.time",".9092084",".1299809"
"9.time","1.004069",".9603227"
"10.time",".9511164",".4196574"
"11.time",".9891682",".8632315"
"12.time",".842674",".0119833"
"13.time",".7898011",".001253"
"14.time",".8598216",".0446766"
"15.time",".9114051",".1516912"
"16.time",".69183","1.09e-06"
"17.time",".7228271",".000019"
"18.time",".7884812",".0008654"
"19.time",".8354706",".0111339"
"20.time",".6567275","3.10e-08"
"21.time",".665516","8.60e-08"
"22.time",".6962219","2.36e-06"
"23.time",".8148395",".005171"
"24.time",".6615169","1.34e-07"
"25.time",".6977766","5.93e-06"
"26.time",".6312354","1.35e-09"
"27.time",".7709121",".000504"
"28.time",".6333066","4.79e-09"
"29.time",".6335864","8.19e-10"
"30.time",".6131218","1.06e-07"
"31.time",".7860994",".0086042"
"32.time",".6736367","1.08e-06"
"33.time",".6212246","1.10e-09"
"34.time",".6057568","1.08e-09"
"35.time",".7274856",".0004007"
"36.time",".5956434","2.01e-10"
"37.time",".5978261","5.15e-12"
"38.time",".5995665","6.60e-09"
"39.time",".6157026","2.24e-08"
"40.time",".529203","2.22e-16"
"41.time",".4786825","0"
"42.time",".5322512","2.74e-09"
"43.time",".6557709","2.04e-07"
"44.time",".5397476","6.62e-13"
"45.time",".5249733","7.79e-14"
"46.time",".4821771","0"
"47.time",".556037","1.89e-13"
"48.time",".4376589","0"
"49.time",".4679677","0"
"50.time",".4474617","0"
"51.time",".5241234","2.89e-12"
"52.time",".379867","0"
"53.time",".4376264","0"
"54.time",".3997191","0"
"55.time",".4671269","4.88e-15"
"56.time",".3632356","0"
"57.time",".4146502","0"
"58.time",".4122699","2.22e-16"
"59.time",".4458673","0"
"60.time",".444958","1.42e-14"
"61.time",".3830139","0"
"62.time",".3371589","0"
"63.time",".4571591","2.09e-14"
"64.time",".3379367","0"
"65.time",".3616147","4.44e-16"
"N","19291",""
