"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_c_4lag","1.001129",".066846"
"p75_pp_c_4lag","1.00001",".267347"
"mine_time","1.021176",".2938254"
"onsite_insp_hours","1.002568","1.82e-07"
"1.state","1.207194",".6328758"
"2.state",".8936527",".5535319"
"3.state",".977846",".9637859"
"4.state","3.314981",".3228504"
"5.state",".8856935",".7999138"
"6.state",".4485737",".0000429"
"7.state","1","."
"8.state",".060724","0"
"9.state","1","."
"10.state",".4997912",".1388479"
"11.state","1.868421",".4613187"
"12.state",".5129763",".0150677"
"13.state","1.350497",".8039207"
"14.state",".3944742",".0102307"
"15.state",".3852038",".000017"
"16.state","1","."
"17.state","1","."
"8.time","1.366713",".1081969"
"9.time","1","."
"10.time","1.142671",".5454766"
"11.time",".8779758",".5341344"
"12.time","1.045632",".8394301"
"13.time",".7330829",".1396189"
"14.time","1.074327",".7821971"
"15.time",".6958533",".1470944"
"16.time",".5045356",".0119519"
"N","3296",""
