"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss","1.591619",".0244914"
"p75_ss","1.004391",".3314522"
"mine_time","1.021711",".2702161"
"onsite_insp_hours","1.00363","4.44e-16"
"1.state","1.123287",".8789898"
"2.state",".6682771",".0033105"
"3.state","1.393011",".4464986"
"4.state","4.68726",".0435262"
"5.state",".9251766",".8767025"
"6.state",".474692","2.06e-07"
"7.state","2.140244",".4536087"
"8.state",".8240103",".1638044"
"9.state",".2143875","0"
"10.state",".6762635",".3484339"
"11.state","3.204469",".1770783"
"12.state",".5210702",".0027139"
"13.state","1.870055",".3472058"
"14.state",".4232851",".0399587"
"15.state",".6264819",".0067468"
"16.state","1","."
"17.state","1","."
"1.time","1.008321",".9650983"
"2.time","1","."
"3.time",".6888162",".0539875"
"4.time",".9164394",".7014218"
"5.time",".5334594",".0035723"
"6.time",".4832934",".000497"
"7.time",".4916855",".0010553"
"8.time",".324678","2.16e-07"
"9.time",".2336927","3.74e-11"
"10.time",".2762282","2.65e-07"
"11.time",".2053725","1.11e-10"
"12.time",".2514648","2.11e-08"
"13.time",".1773101","2.77e-12"
"14.time",".2620911","5.47e-06"
"15.time",".1647413","7.88e-10"
"16.time",".1120367","3.06e-12"
"N","6242",""
