"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_4lag","1.082715",".0050338"
"p75_c_4lag",".9997671",".6386326"
"mine_time","1.020834",".2926714"
"onsite_insp_hours","1.003856","6.22e-15"
"1.state","1.150623",".8524832"
"2.state",".6545842",".0023991"
"3.state","1.381743",".4614589"
"4.state","4.67586",".0451836"
"5.state",".9429124",".9071991"
"6.state",".4858716","4.67e-07"
"7.state","2.222535",".4237027"
"8.state",".8117621",".1249464"
"9.state",".2222199","0"
"10.state",".6978904",".3910475"
"11.state","3.447024",".1534244"
"12.state",".5141054",".0022662"
"13.state","1.851158",".3580668"
"14.state",".4288182",".0433915"
"15.state",".6380078",".0094712"
"16.state","1","."
"17.state","1","."
"1.time","1.015632",".9352083"
"2.time","1","."
"3.time",".6822887",".0482703"
"4.time",".9018618",".6504236"
"5.time",".5272212",".0030086"
"6.time",".4760977",".0003766"
"7.time",".4925294",".0011767"
"8.time",".326134","2.60e-07"
"9.time",".2324838","3.82e-11"
"10.time",".2699892","1.70e-07"
"11.time",".2038039","8.35e-11"
"12.time",".2462311","1.41e-08"
"13.time",".168443","5.40e-13"
"14.time",".2503405","2.27e-06"
"15.time",".1560723","2.67e-10"
"16.time",".1050053","4.60e-13"
"N","6242",""
