"","est1",""
"","b","p"
"dv","",""
"p48_pp","1.000191",".1281885"
"p75_pp","1.000013","6.47e-07"
"mine_time","1.005267",".3706427"
"onsite_insp_hours",".999745","3.54e-10"
"1.state","1.029608",".8092719"
"2.state","1.483921","5.28e-14"
"3.state",".6445463",".0009683"
"4.state","1.05026",".5109831"
"5.state",".8597681",".1420359"
"6.state",".8593247",".0067979"
"7.state","1.209279",".2915345"
"8.state",".4402049","0"
"9.state",".6018209","0"
"10.state",".8404698",".1561028"
"11.state","1.390847",".2041094"
"12.state","1.166001",".0675006"
"13.state","1.768786",".0010868"
"14.state",".4689855",".0001725"
"15.state",".7118653","7.98e-07"
"16.state","1","."
"17.state",".5921442","0"
"8.time","1.133166",".0023104"
"9.time","1","."
"10.time",".8986079",".0069734"
"11.time",".908798",".04404"
"12.time",".8430324",".0001439"
"13.time",".7480102","1.77e-08"
"14.time",".7340633","1.23e-07"
"15.time",".7270005","2.46e-08"
"16.time",".7060178","2.58e-08"
"N","3333",""
