"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.001882",".1316729"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.000657",".8044784"
"sp48_26_pp_c_lag_all",".9970925",".0001741"
"sp48_27_pp_c_lag_all","1.00073",".6024159"
"sp48_28_pp_c_lag_all","1.002482",".4023841"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9992935",".8538711"
"sp48_6_pp_c_lag_all",".9987387",".4325183"
"sp48_7_pp_c_lag_all",".9965533",".0003959"
"sp48_8_pp_c_lag_all",".9990629",".4786428"
"sp75_100_pp_c_lag_all","1","."
"sp75_1002_pp_c_lag_all",".9987832",".1429185"
"sp75_1003_pp_c_lag_all","1","."
"sp75_1003_2_pp_c_lag_all","1","."
"sp75_1311_pp_c_lag_all","1.000453",".7847791"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9772129",".0003576"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9953603",".1629951"
"sp75_1400_1_pp_c_lag_all","1","."
"sp75_1403_10_pp_c_lag_all","1.000443",".6318662"
"sp75_1403_5_pp_c_lag_all","1.000316",".3489581"
"sp75_1403_6_pp_c_lag_all",".9986214",".0067283"
"sp75_1403_7_pp_c_lag_all","1.002137",".439198"
"sp75_1403_8_pp_c_lag_all","1.002837",".3351411"
"sp75_1404_pp_c_lag_all",".9935695",".0156507"
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1405_pp_c_lag_all","1.012668",".1540303"
"sp75_1405_1_pp_c_lag_all",".9854558",".0006924"
"sp75_153_pp_c_lag_all","1","."
"sp75_156_pp_c_lag_all",".9932739",".1503918"
"sp75_160_pp_c_lag_all","1.004724",".3220248"
"sp75_1719_2_pp_c_lag_all","1","."
"sp75_1719_4_pp_c_lag_all",".999599",".694723"
"sp75_1720_pp_c_lag_all","1.002069",".015196"
"sp75_1725_pp_c_lag_all","1.000068",".3719452"
"sp75_1906_pp_c_lag_all",".996",".0546122"
"sp75_1916_pp_c_lag_all",".9967093",".034586"
"sp75_203_pp_c_lag_all","1.000154",".4830193"
"sp75_204_pp_c_lag_all",".9997612",".5085581"
"sp75_205_pp_c_lag_all","1.009783",".1807588"
"sp75_207_pp_c_lag_all","1.008904",".0039856"
"sp75_208_pp_c_lag_all",".9992424",".0206428"
"sp75_209_pp_c_lag_all",".9997716",".8590422"
"sp75_212_pp_c_lag_all","1.006933",".00302"
"sp75_213_pp_c_lag_all",".9983398",".8879369"
"sp75_215_pp_c_lag_all","1","."
"sp75_332_pp_c_lag_all","1.003894",".2865432"
"sp75_334_pp_c_lag_all",".9990711",".3909439"
"sp75_337_pp_c_lag_all",".9977542",".0141475"
"sp75_340_pp_c_lag_all","1.001582",".0056851"
"sp75_343_pp_c_lag_all","1","."
"sp75_373_pp_c_lag_all","1","."
"sp75_388_pp_c_lag_all","1.000031",".9701517"
"sp75_389_pp_c_lag_all","1","."
"sp75_500_pp_c_lag_all","1.000168",".8958193"
"sp75_500_1_pp_c_lag_all","1","."
"sp75_501_pp_c_lag_all","1.000153",".949302"
"sp75_501_2_pp_c_lag_all","1.000005",".9976967"
"sp75_502_pp_c_lag_all","1","."
"sp75_503_pp_c_lag_all",".9998976",".0562568"
"sp75_505_pp_c_lag_all","1.008351",".0000332"
"sp75_506_1_pp_c_lag_all","1.001843",".3066359"
"sp75_507_pp_c_lag_all",".9989284",".4453178"
"sp75_507_1_pp_c_lag_all","1.000972",".0738221"
"sp75_508_1_pp_c_lag_all",".9941321",".2234131"
"sp75_509_pp_c_lag_all","1.005002",".3271"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all","1","."
"sp75_523_pp_c_lag_all",".9998136",".7432482"
"sp75_523_3_pp_c_lag_all",".9999516",".7512528"
"sp75_524_pp_c_lag_all",".9997668",".9656321"
"sp75_602_pp_c_lag_all","1.000431",".7057728"
"sp75_603_pp_c_lag_all",".9967329",".1076624"
"sp75_604_pp_c_lag_all","1.000314",".022441"
"sp75_605_pp_c_lag_all","1.000876",".1303694"
"sp75_606_pp_c_lag_all",".9998316",".4896706"
"sp75_607_pp_c_lag_all","1.002691",".0155386"
"sp75_703_3_pp_c_lag_all","1.003367",".1302743"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_807_pp_c_lag_all","1.000072",".8573836"
"sp75_810_pp_c_lag_all",".9980338",".0005017"
"sp75_811_pp_c_lag_all","1.004032",".0317256"
"sp75_812_pp_c_lag_all","1","."
"sp75_816_pp_c_lag_all","1.000385",".6554454"
"sp75_817_pp_c_lag_all","1","."
"sp75_906_pp_c_lag_all",".9990655",".7863277"
"mine_time",".9992822",".9741079"
"onsite_insp_hours","1.003166","3.58e-11"
"1.state","1.023111",".9653758"
"2.state","1.131894",".544739"
"3.state","1.436547",".5549239"
"4.state","3.520782",".3294887"
"5.state","1.388277",".6319643"
"6.state",".4613063",".0002293"
"7.state","1","."
"8.state",".0535692","0"
"9.state","1","."
"10.state",".236083",".0003062"
"11.state","1.688703",".6227763"
"12.state",".4644116",".0092594"
"13.state","1.65964",".6580638"
"14.state",".4879331",".0435729"
"15.state",".3761729",".0000536"
"16.state","1","."
"17.state","1","."
"8.time","1.347607",".1410286"
"9.time","1","."
"10.time","1.181875",".4801662"
"11.time",".8618284",".5098699"
"12.time","1.042037",".8599804"
"13.time",".7132254",".1133601"
"14.time",".9666983",".8985457"
"15.time",".6371191",".0896977"
"16.time",".4257064",".0048807"
"N","2894",""
