"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_c_lag_all","1.000082",".5740826"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9995895",".03253"
"sp48_26_pp_c_lag_all","1",".9996264"
"sp48_27_pp_c_lag_all","1.000025",".8839629"
"sp48_28_pp_c_lag_all",".9995379",".0505299"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000103",".8054778"
"sp48_6_pp_c_lag_all","1.000124",".2820698"
"sp48_7_pp_c_lag_all",".9997813",".0922458"
"sp48_8_pp_c_lag_all","1.000351",".1922279"
"sp75_100_pp_c_lag_all","1.000624",".1446034"
"sp75_1002_pp_c_lag_all","1.000052",".3166306"
"sp75_1003_pp_c_lag_all","1.000056",".0225815"
"sp75_1003_2_pp_c_lag_all",".9999547",".7990022"
"sp75_1311_pp_c_lag_all","1.00007",".7424371"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".999564",".0923749"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9998643",".2397484"
"sp75_1400_1_pp_c_lag_all",".9991311",".0767441"
"sp75_1403_10_pp_c_lag_all","1.0001",".0006157"
"sp75_1403_5_pp_c_lag_all",".9999944",".6329233"
"sp75_1403_6_pp_c_lag_all","1.000022",".1161856"
"sp75_1403_7_pp_c_lag_all",".9998217",".0505821"
"sp75_1403_8_pp_c_lag_all",".9999732",".101053"
"sp75_1404_pp_c_lag_all",".9999372",".9273653"
"sp75_1404_1_pp_c_lag_all",".996854",".003894"
"sp75_1405_pp_c_lag_all","1.000013",".7550459"
"sp75_1405_1_pp_c_lag_all",".999882",".8451988"
"sp75_153_pp_c_lag_all",".9999058",".8786764"
"sp75_156_pp_c_lag_all",".9973333",".0051798"
"sp75_160_pp_c_lag_all","1.00469",".0221122"
"sp75_1719_2_pp_c_lag_all","1.000252",".6543659"
"sp75_1719_4_pp_c_lag_all","1.000002",".9876153"
"sp75_1720_pp_c_lag_all","1.000134",".1192945"
"sp75_1725_pp_c_lag_all",".9999853",".0259788"
"sp75_1906_pp_c_lag_all","1.000202",".0290681"
"sp75_1916_pp_c_lag_all",".9997518",".0625409"
"sp75_203_pp_c_lag_all","1.000003",".8877011"
"sp75_204_pp_c_lag_all","1.000034",".3589387"
"sp75_205_pp_c_lag_all",".999475",".1700911"
"sp75_207_pp_c_lag_all",".9999473",".8982486"
"sp75_208_pp_c_lag_all","1.000028",".3959211"
"sp75_209_pp_c_lag_all","1.000004",".984359"
"sp75_212_pp_c_lag_all","1.000035",".6649057"
"sp75_213_pp_c_lag_all","1.000519",".1929831"
"sp75_215_pp_c_lag_all",".9989761",".2419946"
"sp75_332_pp_c_lag_all",".9995687",".0944343"
"sp75_334_pp_c_lag_all",".9998413",".1109611"
"sp75_337_pp_c_lag_all",".9999122",".1971485"
"sp75_340_pp_c_lag_all",".9999666",".0487253"
"sp75_343_pp_c_lag_all",".999855",".534766"
"sp75_373_pp_c_lag_all","1.010259","0"
"sp75_388_pp_c_lag_all","1.000027",".8882213"
"sp75_389_pp_c_lag_all",".9994961",".2247566"
"sp75_500_pp_c_lag_all","1.000317",".0683465"
"sp75_500_1_pp_c_lag_all",".9995324",".7004279"
"sp75_501_pp_c_lag_all","1.000189",".5929785"
"sp75_501_2_pp_c_lag_all",".9992022",".0093667"
"sp75_502_pp_c_lag_all","1.000891",".1053497"
"sp75_503_pp_c_lag_all",".999993",".1016007"
"sp75_505_pp_c_lag_all","1.000592",".1007419"
"sp75_506_1_pp_c_lag_all","1.000718",".0000949"
"sp75_507_pp_c_lag_all","1.000114",".3296272"
"sp75_507_1_pp_c_lag_all",".9999976",".9699216"
"sp75_508_1_pp_c_lag_all",".998801",".0474054"
"sp75_509_pp_c_lag_all",".9998809",".7186182"
"sp75_510_pp_c_lag_all","1.001812",".2431128"
"sp75_512_1_pp_c_lag_all",".9990788",".1363115"
"sp75_523_pp_c_lag_all","1.000008",".9146345"
"sp75_523_3_pp_c_lag_all","1.000008",".615986"
"sp75_524_pp_c_lag_all","1.000315",".3643607"
"sp75_602_pp_c_lag_all",".9999807",".8498933"
"sp75_603_pp_c_lag_all",".9997609",".0352852"
"sp75_604_pp_c_lag_all",".9999868",".0694212"
"sp75_605_pp_c_lag_all","1.000074",".1931015"
"sp75_606_pp_c_lag_all","1.000023",".0997823"
"sp75_607_pp_c_lag_all",".9998508",".2347881"
"sp75_703_3_pp_c_lag_all","1.000685",".0027659"
"sp75_703_4_pp_c_lag_all","1.00224",".0657576"
"sp75_807_pp_c_lag_all","1.000031",".0858391"
"sp75_810_pp_c_lag_all","1.000132",".2321562"
"sp75_811_pp_c_lag_all","1.000097",".3453271"
"sp75_812_pp_c_lag_all",".99916",".0096822"
"sp75_816_pp_c_lag_all","1.000001",".9857504"
"sp75_817_pp_c_lag_all",".9999225",".874029"
"sp75_906_pp_c_lag_all",".9991544",".2101084"
"mine_time","1.010697",".0958822"
"onsite_insp_hours",".9999511",".2378976"
"1.state","1.089866",".6581815"
"2.state","1.455014","3.83e-13"
"3.state",".629986",".0014525"
"4.state","1.121481",".2266162"
"5.state",".8562511",".2025021"
"6.state",".7941976",".000034"
"7.state","1.0328",".8826897"
"8.state",".3795826","0"
"9.state",".6801157",".0240536"
"10.state",".8360383",".2268545"
"11.state","1.995294",".0005314"
"12.state","1.035931",".6617151"
"13.state","1.635969",".0097727"
"14.state",".4413027",".0004176"
"15.state",".7064378","8.31e-08"
"16.state","1","."
"17.state",".5512833",".0032692"
"8.time","1.12481",".004111"
"9.time","1","."
"10.time",".8898685",".0027989"
"11.time",".866704",".0019274"
"12.time",".805169","4.03e-06"
"13.time",".6997746","4.57e-11"
"14.time",".6761195","2.40e-10"
"15.time",".6650326","1.53e-11"
"16.time",".637934","2.16e-11"
"N","3333",""
