"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_lag_all","1.025942",".1159861"
"p75_c_lag_all","1.000314",".0129235"
"mine_time",".998062",".6109898"
"onsite_insp_hours","1.003729","2.66e-15"
"1.state","1.123564",".7500392"
"3.state","1.385168",".0614141"
"4.state","4.774965","1.73e-07"
"5.state","1.850707",".0707322"
"6.state","1","."
"7.state","2.123541",".0115432"
"8.state","1","."
"9.state","2.177953","0"
"10.state","1.318959",".1962475"
"11.state","3.641196",".0004954"
"12.state","1.830333","7.94e-07"
"13.state","1.733301",".0087009"
"14.state",".4265123",".0027205"
"15.state","1.125481",".1733961"
"16.state","1.708638","4.31e-11"
"17.state","2.5968",".0000579"
"1.time","1","."
"2.time","1.478959",".0032316"
"3.time","1.571305",".0014582"
"4.time",".7786709",".0608912"
"5.time",".9676857",".8135568"
"6.time",".968284",".8168818"
"7.time","1.219667",".1921756"
"8.time",".9701166",".8399487"
"9.time","1.072149",".6391987"
"10.time",".8912733",".4553897"
"11.time","1.28172",".127463"
"12.time",".8068878",".1719266"
"13.time",".9324708",".6919363"
"14.time",".9530807",".7816593"
"15.time","1.426362",".0358458"
"16.time",".746157",".0908028"
"17.time",".772457",".118837"
"18.time",".7108897",".0381097"
"19.time",".7407897",".0756193"
"20.time",".5871754",".0012005"
"21.time",".7156373",".0497794"
"22.time",".6237914",".0046058"
"23.time",".7271457",".0693087"
"24.time",".5399052",".0003739"
"25.time",".6747589",".0329616"
"26.time",".5580219",".0005408"
"27.time",".6769217",".024514"
"28.time",".569385",".0016607"
"29.time",".5317385",".000316"
"30.time",".4582829",".0000107"
"31.time",".5824156",".0026416"
"32.time",".4686762",".0000117"
"33.time",".4589021",".0000159"
"34.time",".4680671",".0000475"
"35.time",".4424372","4.02e-06"
"36.time",".450681","5.87e-06"
"37.time",".5140203",".0002397"
"38.time",".5234595",".0009298"
"39.time",".4085232","5.48e-06"
"40.time",".4498021",".0000224"
"41.time",".4312813",".0000448"
"42.time",".4486848",".0000403"
"43.time",".6302001",".0253836"
"44.time",".3793871","2.86e-06"
"45.time",".4348463",".0000471"
"46.time",".4095342",".0000123"
"47.time",".5428255",".0018838"
"48.time",".4370218",".0000524"
"49.time",".3438335","9.32e-08"
"50.time",".4691762",".0002865"
"51.time",".4219167",".0000754"
"52.time",".1734617","5.77e-15"
"53.time",".3662919",".0000154"
"54.time",".354996",".0000145"
"55.time",".281651","1.74e-07"
"56.time",".222939","7.71e-10"
"57.time",".291973","2.25e-06"
"58.time",".2446568","3.31e-08"
"59.time",".271026","1.78e-07"
"60.time",".3968136",".0005624"
"61.time",".2828312","3.56e-07"
"62.time",".1692766","3.56e-12"
"63.time",".3198302",".0000167"
"64.time",".1907786","1.08e-09"
"65.time",".1146708","3.28e-11"
"N","19290",""
