"","est1",""
"","b","p"
"dv","",""
"p48_1lag",".994541",".5268333"
"p75_1lag","1.001611",".0006899"
"mine_time","1.001055",".4272987"
"onsite_insp_hours",".9993815","4.65e-07"
"1.state","1.015574",".8707353"
"2.state","1.78526","0"
"3.state",".7452063",".0160455"
"4.state","1.269456",".0000544"
"5.state","1.095268",".3476888"
"6.state","1","."
"7.state","1.232314",".1668525"
"8.state",".5449683","0"
"9.state",".7387683","1.78e-15"
"10.state",".96744",".6572599"
"11.state","1.781134",".0008121"
"12.state","1.296159",".0013126"
"13.state","1.679459","1.70e-07"
"14.state",".4965569",".0000411"
"15.state",".9165349",".1044973"
"16.state","1.209714",".0000571"
"17.state",".7391693","2.22e-16"
"2.time",".9819703",".7823598"
"3.time","1.056425",".3761496"
"4.time",".7508527",".0000142"
"5.time",".7522141","1.25e-06"
"6.time",".8716158",".0304774"
"7.time","1","."
"8.time",".791482",".0000186"
"9.time",".8413901",".0279717"
"10.time",".8226477",".0023492"
"11.time",".9058566",".1167883"
"12.time",".7323626","4.87e-07"
"13.time",".7009521","3.95e-07"
"14.time",".7441949",".0000576"
"15.time",".8480752",".0104812"
"16.time",".6192584","9.62e-13"
"17.time",".6570367","6.77e-09"
"18.time",".686332","3.70e-08"
"19.time",".7677227",".0000801"
"20.time",".6039099","3.24e-13"
"21.time",".6022899","1.09e-12"
"22.time",".6514143","2.51e-10"
"23.time",".7050142","3.33e-07"
"24.time",".5819862","4.29e-13"
"25.time",".6294844","1.26e-09"
"26.time",".6079449","1.66e-11"
"27.time",".7078553","1.63e-06"
"28.time",".559856","1.29e-14"
"29.time",".5517354","6.66e-16"
"30.time",".6047664","1.40e-09"
"31.time",".7056772",".0000274"
"32.time",".5853226","1.48e-12"
"33.time",".5469653","0"
"34.time",".5431245","1.33e-15"
"35.time",".6057868","3.92e-10"
"36.time",".4910965","0"
"37.time",".5031904","0"
"38.time",".4792855","0"
"39.time",".543326","4.97e-14"
"40.time",".4615127","0"
"41.time",".4647236","0"
"42.time",".4638701","2.44e-15"
"43.time",".5820235","1.10e-12"
"44.time",".4569414","0"
"45.time",".4658132","0"
"46.time",".4395526","0"
"47.time",".5081135","0"
"48.time",".3902077","0"
"49.time",".4372478","0"
"50.time",".3793972","0"
"51.time",".435232","0"
"52.time",".338126","0"
"53.time",".3854752","0"
"54.time",".3693389","0"
"55.time",".429085","0"
"56.time",".3202316","0"
"57.time",".3691089","0"
"58.time",".3811648","0"
"59.time",".4050711","0"
"60.time",".394207","0"
"61.time",".351392","0"
"62.time",".3373212","0"
"63.time",".4449886","0"
"64.time",".3470847","0"
"65.time",".371537","0"
"N","26110",""
