"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11","1.089452",".6254263"
"sp75_1311",".4975435",".0434511"
"sp75_1400_1",".2577331",".2022674"
"sp75_1404_1","3.042418",".1549213"
"sp75_1405_1","1","."
"sp75_500_1","1","."
"sp75_501","1.132572",".6211393"
"sp75_506_1","1.026412",".9167133"
"sp75_507_1","1.058072",".4863211"
"sp75_508_1","1","."
"sp75_512_1",".4980335",".3339729"
"sp75_811",".823419",".2231884"
"sp75_1002",".8444858",".0961072"
"sp75_1003_2","1","."
"sp75_1322","1","."
"sp75_1719_2",".5817602",".1805167"
"sp75_212","1.252199",".3180921"
"sp75_332",".79832",".3364632"
"sp75_501_2",".8994858",".6211552"
"sp75_502","1.437185",".4217107"
"sp75_602","1.08349",".5058859"
"sp75_812",".3763929",".0598224"
"sp75_1003",".8142713",".4583047"
"sp75_153","1.07232",".9695091"
"sp75_203",".9936222",".8630796"
"sp75_213","2.721893",".1563466"
"sp75_343","1.459942",".4597856"
"sp75_373","1.277359",".7757969"
"sp75_503","1.011665",".3097892"
"sp75_523",".9027943",".1261653"
"sp75_523_3",".9575385",".0949003"
"sp75_603","1.222795",".2568554"
"sp75_703_3",".8733158",".3585609"
"sp48_24","1","."
"sp48_4","1.184033",".8642932"
"sp75_1404",".5747386",".5244614"
"sp75_1719_4","1.074447",".6369109"
"sp75_204","1.138863",".0228833"
"sp75_334","1.031975",".793094"
"sp75_524","1.364237",".5648537"
"sp75_604","1.061678",".006726"
"sp75_703_4","1","."
"sp48_25","1.027794",".9211521"
"sp48_5","1.30791",".4218105"
"sp75_1315","1.098544",".9123162"
"sp75_1403_5","1.125384",".2655715"
"sp75_1405","1.080343",".6528239"
"sp75_155","1","."
"sp75_1725","1.043086",".039556"
"sp75_205","1.033721",".9347305"
"sp75_215",".1944943",".0317506"
"sp75_505","1.623678",".2364989"
"sp75_605","1.111456",".0717821"
"sp48_26","1.053093",".719468"
"sp48_6","1.007173",".9547754"
"sp75_1316",".5110482",".1082238"
"sp75_1403_6","1.148386",".0593698"
"sp75_156",".8873476",".8844697"
"sp75_1906","1.304771",".2631725"
"sp75_1916","1.471608",".266721"
"sp75_606",".9902425",".7937917"
"sp75_816",".7982204",".0297589"
"sp75_906",".9143902",".8468626"
"sp48_27","1.04658",".8414324"
"sp48_7","1.975571",".0010322"
"sp75_1403_7",".5703817",".033814"
"sp75_207","1.129702",".6705508"
"sp75_327","1","."
"sp75_337",".9803215",".8899149"
"sp75_507","1.045684",".770125"
"sp75_607",".8017961",".1135915"
"sp75_807","1.06686",".0849365"
"sp75_817","1.23743",".7786754"
"sp48_28",".8280025",".3346565"
"sp48_8","1.370744",".1819813"
"sp75_1318","4.561794",".3092681"
"sp75_1403_8","1.001074",".9949966"
"sp75_208","1.034607",".494981"
"sp75_388","1.252361",".1538653"
"sp75_209",".8565325",".2261264"
"sp75_389",".7736436",".4554732"
"sp75_509","2.181044",".1130071"
"sp75_100","3.810218",".0276375"
"sp75_1400",".8039018",".347112"
"sp75_1403_10","1.308289",".029956"
"sp75_160",".8636927",".7811796"
"sp75_1720","1.113634",".2397271"
"sp75_340","1.098761",".0957334"
"sp75_500",".9261964",".5662653"
"sp75_510","1","."
"sp75_810",".8281987",".1198998"
"mine_time","1.003177",".1745091"
"onsite_insp_hours","1.003922","2.22e-16"
"1.state","1.152576",".6905656"
"2.state","1.78915","1.11e-13"
"3.state","1.688235",".0014776"
"4.state","3.501368",".0000186"
"5.state","1.590602",".0148494"
"6.state","1","."
"7.state","1.547376",".0373434"
"8.state",".4275427","0"
"9.state","2.269538","0"
"10.state","1.390414",".0782896"
"11.state","3.649399",".0016253"
"12.state","1.651513","2.89e-06"
"13.state","2.242661","3.83e-06"
"14.state",".4844802",".0100172"
"15.state","1.101432",".1843564"
"16.state","1.71181","1.11e-15"
"17.state","2.664448",".0000331"
"1.time",".9379773",".6389711"
"2.time","1.34641",".0337814"
"3.time","1.410951",".0128149"
"4.time",".7491452",".0263857"
"5.time",".8252422",".1518045"
"6.time","1","."
"7.time","1.047729",".7242197"
"8.time",".8589169",".2597824"
"9.time",".9070762",".5018701"
"10.time",".7215107",".0227725"
"11.time","1.031929",".8292285"
"12.time",".7352836",".0362566"
"13.time",".7542357",".0590343"
"14.time",".8406795",".2700538"
"15.time","1.238561",".1700564"
"16.time",".6464236",".003976"
"17.time",".6865786",".0120534"
"18.time",".6511799",".0031961"
"19.time",".7260824",".0314117"
"20.time",".5430653",".0000244"
"21.time",".5731636",".0001775"
"22.time",".6114527",".00112"
"23.time",".6664105",".0052596"
"24.time",".4630598","1.75e-07"
"25.time",".6163579",".0016532"
"26.time",".5366383",".0000302"
"27.time",".6217569",".0012664"
"28.time",".5383536",".0000686"
"29.time",".4606835","3.07e-07"
"30.time",".4914041","2.40e-06"
"31.time",".5478595",".0000878"
"32.time",".4115637","5.32e-09"
"33.time",".4321573","1.15e-07"
"34.time",".4460814","3.61e-07"
"35.time",".4113505","5.80e-09"
"36.time",".369909","7.76e-11"
"37.time",".4084957","1.24e-08"
"38.time",".4240791","2.20e-07"
"39.time",".3977766","1.78e-08"
"40.time",".3409112","3.88e-11"
"41.time",".4001092","7.04e-08"
"42.time",".3716136","7.12e-10"
"43.time",".5257335",".0001219"
"44.time",".3237569","1.20e-11"
"45.time",".3612625","9.54e-10"
"46.time",".424338","5.78e-07"
"47.time",".5022637",".0000281"
"48.time",".3412066","1.42e-10"
"49.time",".3543456","3.81e-10"
"50.time",".3811077","3.85e-09"
"51.time",".3381206","1.05e-09"
"52.time",".1779067","0"
"53.time",".2908274","9.41e-12"
"54.time",".304799","4.65e-11"
"55.time",".3199911","1.93e-09"
"56.time",".2157713","2.00e-15"
"57.time",".2283045","3.50e-13"
"58.time",".221946","9.55e-15"
"59.time",".2560207","7.35e-12"
"60.time",".2914252","9.03e-10"
"61.time",".2497896","6.57e-12"
"62.time",".1934255","4.44e-16"
"63.time",".3404761","1.27e-07"
"64.time",".218704","5.98e-13"
"65.time",".1385033","8.88e-16"
"N","28277",""
