"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.055567",".2258453"
"sp75_1311","1.048085",".6774488"
"sp75_1400_1",".9505998",".8716305"
"sp75_1404_1","1.170462",".5823778"
"sp75_1405_1","1.17021",".4471083"
"sp75_500_1",".8199671",".2923422"
"sp75_501","1.521847",".1200717"
"sp75_506_1","1.043263",".4835817"
"sp75_507_1","1.050138",".139961"
"sp75_508_1",".7035012",".000019"
"sp75_512_1",".9533038",".8472986"
"sp75_811",".986458",".715679"
"sp75_1002",".9536815",".0760758"
"sp75_1003_2",".9886105",".8775161"
"sp75_1322","1.828226",".2186262"
"sp75_1719_2",".931316",".5011843"
"sp75_212","1.145782",".0000547"
"sp75_332",".9086459",".2215883"
"sp75_501_2",".8932718",".2538916"
"sp75_502","1.148837",".2902025"
"sp75_602","1.0334",".3694757"
"sp75_812","1.089317",".5588274"
"sp75_1003",".8822666","3.64e-06"
"sp75_153",".9246396",".7199737"
"sp75_203","1.017667",".1779554"
"sp75_213","1.088032",".3290811"
"sp75_343",".9888956",".8174025"
"sp75_373",".9802859",".975863"
"sp75_503","1.00532",".2096333"
"sp75_523",".9524058",".0698394"
"sp75_523_3",".9789736",".0288812"
"sp75_603","1.130849",".0266368"
"sp75_703_3",".9466208",".2288783"
"sp48_24",".9377458","4.09e-10"
"sp48_4",".468476",".0002414"
"sp75_1404","1.056476",".835869"
"sp75_1719_4",".9967101",".9059207"
"sp75_204","1.02852",".0952608"
"sp75_334","1.019789",".5958063"
"sp75_524","1.029192",".8522515"
"sp75_604","1.018802",".0038592"
"sp75_703_4","1.09e-07","0"
"sp48_25",".9207407",".2701979"
"sp48_5","1.218253",".0496409"
"sp75_1315","1.479001",".3883623"
"sp75_1403_5",".9771996",".0974077"
"sp75_1405",".9681944",".1074923"
"sp75_155","1.122996",".6033772"
"sp75_1725","1.013382",".020855"
"sp75_205","1.221565",".1984604"
"sp75_215",".9631182",".8382822"
"sp75_505",".9625714",".7135504"
"sp75_605","1.001299",".9410869"
"sp48_26","1.099421",".0785374"
"sp48_6","1.088721",".1080117"
"sp75_1316",".7777838",".2693261"
"sp75_1403_6",".989883",".2315493"
"sp75_156","1.006577",".9567463"
"sp75_1906","1.131024",".0014296"
"sp75_1916","1.043569",".324595"
"sp75_606","1.013686",".2070199"
"sp75_816",".9635937",".2241812"
"sp75_906",".9300761",".6445892"
"sp48_27","1.034154",".5914859"
"sp48_7","1.07102",".1303173"
"sp75_1403_7",".985243",".7210442"
"sp75_207","1.142266",".6143856"
"sp75_327","1.213609",".3785781"
"sp75_337",".9899535",".740398"
"sp75_507","1.061438",".3523705"
"sp75_607",".9553622",".3201193"
"sp75_807","1.030355",".0046881"
"sp75_817",".8770256",".6203691"
"sp48_28",".9481174",".5557039"
"sp48_8","1.14823",".0883477"
"sp75_1318","1.612718",".3083789"
"sp75_1403_8",".9626198",".0008037"
"sp75_208","1.032032",".0606446"
"sp75_388","1.137881",".0419412"
"sp75_209",".9802496",".7281911"
"sp75_389","1.133893",".4723426"
"sp75_509","1.258944",".0168771"
"sp75_100","1.393133",".03125"
"sp75_1400",".9813",".6769884"
"sp75_1403_10","1.012538",".4015196"
"sp75_160","1.116986",".6496227"
"sp75_1720","1.087747",".0069276"
"sp75_340",".9860932",".3424389"
"sp75_500",".9631194",".4543594"
"sp75_510",".8165349",".1587407"
"sp75_810","1.117499",".0486947"
"mine_time","1.002162",".0904214"
"onsite_insp_hours",".9994657","5.44e-06"
"1.state","1.057397",".574704"
"2.state","1.707937","0"
"3.state",".7636314",".0270288"
"4.state","1.239038",".000233"
"5.state","1.062893",".4177324"
"6.state","1","."
"7.state","1.255152",".1336578"
"8.state",".5458952","0"
"9.state",".7602032","4.89e-13"
"10.state","1.082017",".3896503"
"11.state","1.870741",".0003975"
"12.state","1.337504",".0000595"
"13.state","1.729576","2.04e-09"
"14.state",".5063078",".0000485"
"15.state",".948887",".3133377"
"16.state","1.265938","3.86e-08"
"17.state",".8103083",".0000826"
"1.time",".9517259",".4514271"
"2.time","1.10731",".1149804"
"3.time","1.223369",".0007877"
"4.time",".8496795",".0104657"
"5.time",".8575698",".0085244"
"6.time","1","."
"7.time","1.111586",".0592195"
"8.time",".8891302",".047815"
"9.time",".9629387",".6105156"
"10.time",".9394339",".3344323"
"11.time","1.016169",".8071334"
"12.time",".8332104",".0061972"
"13.time",".7926452",".0011571"
"14.time",".8514214",".0277427"
"15.time",".9664493",".6097698"
"16.time",".6876839","2.59e-08"
"17.time",".7344015",".0000162"
"18.time",".7933486",".0008989"
"19.time",".8537351",".017432"
"20.time",".6792225","5.30e-09"
"21.time",".6743436","1.22e-08"
"22.time",".7206474","1.38e-06"
"23.time",".7804396",".0002105"
"24.time",".6469053","1.29e-09"
"25.time",".7089583","4.43e-06"
"26.time",".6784542","1.61e-07"
"27.time",".7784564",".0006553"
"28.time",".6321779","8.22e-10"
"29.time",".6229449","3.39e-10"
"30.time",".6602226","2.73e-07"
"31.time",".7756066",".0015755"
"32.time",".6304387","1.89e-09"
"33.time",".6019927","3.47e-12"
"34.time",".5967561","1.65e-11"
"35.time",".6545481","1.34e-07"
"36.time",".5288654","2.00e-15"
"37.time",".5392003","2.22e-16"
"38.time",".5429923","7.90e-14"
"39.time",".6001042","3.13e-10"
"40.time",".5131353","0"
"41.time",".5156789","4.00e-15"
"42.time",".5092479","7.11e-15"
"43.time",".6316887","3.01e-09"
"44.time",".5077346","0"
"45.time",".5077057","0"
"46.time",".480862","0"
"47.time",".5598107","9.55e-15"
"48.time",".429747","0"
"49.time",".4800449","0"
"50.time",".4112149","0"
"51.time",".4695475","0"
"52.time",".3699876","0"
"53.time",".4229922","0"
"54.time",".4004976","0"
"55.time",".4664391","0"
"56.time",".3566849","0"
"57.time",".3978525","0"
"58.time",".4154099","0"
"59.time",".436352","0"
"60.time",".4292621","0"
"61.time",".3878433","0"
"62.time",".3668814","0"
"63.time",".4747598","1.33e-15"
"64.time",".3818794","0"
"65.time",".4061622","0"
"N","28337",""
