"","est1",""
"","b","p"
"dv","",""
"p48_pp_1lag","1.000119",".1706222"
"p75_pp_1lag","1.000009",".0003754"
"mine_time","1.006905",".2286186"
"onsite_insp_hours",".9998127",".0000176"
"1.state",".8602069",".182445"
"2.state","1.243402","4.77e-06"
"3.state",".6612614",".0012292"
"4.state","1.046229",".4785008"
"5.state",".8859949",".221924"
"6.state",".7982461","2.65e-06"
"7.state","1.072803",".7182935"
"8.state",".4825506","0"
"9.state",".5721405","0"
"10.state",".8067273",".0163192"
"11.state","1.562752",".0099471"
"12.state","1.065479",".3857826"
"13.state","1.503919",".0001825"
"14.state",".4150651","1.04e-06"
"15.state",".7344649","1.99e-08"
"16.state","1","."
"17.state",".6072038","0"
"1.time","1.024797",".608832"
"2.time","1","."
"3.time",".9258095",".0908339"
"4.time",".8378821",".0019033"
"5.time",".7889246","7.26e-06"
"6.time",".7164479","4.72e-09"
"7.time",".708837","3.75e-09"
"8.time",".6856648","1.49e-09"
"9.time",".5922208","2.22e-16"
"10.time",".5297858","0"
"11.time",".5322353","0"
"12.time",".4953462","0"
"13.time",".4346425","0"
"14.time",".4243601","0"
"15.time",".4202435","0"
"16.time",".4005104","0"
"N","6253",""
