"","est1",""
"","b","p"
"dv","",""
"p48_ss_c_4lag","1.001283",".8686254"
"p75_ss_c_4lag","1.000617",".0000671"
"mine_time","1.006634",".2449057"
"onsite_insp_hours",".999791","1.53e-07"
"1.state",".8215983",".0827979"
"2.state","1.227899",".0000105"
"3.state",".6754888",".001523"
"4.state","1.061458",".3390336"
"5.state",".9061301",".297437"
"6.state",".7989542","1.68e-06"
"7.state","1.062739",".7506685"
"8.state",".4989116","0"
"9.state",".5799013","0"
"10.state",".7793142",".0059287"
"11.state","1.546714",".0163294"
"12.state","1.074677",".3145516"
"13.state","1.513654",".0000952"
"14.state",".417757","6.13e-07"
"15.state",".7328433","1.15e-08"
"16.state","1","."
"17.state",".6341356","0"
"1.time","1.068945",".1616531"
"2.time","1","."
"3.time",".9252968",".0909915"
"4.time",".8420029",".0024668"
"5.time",".7884658","5.70e-06"
"6.time",".7120759","1.02e-09"
"7.time",".7026072","7.39e-10"
"8.time",".696947","5.83e-09"
"9.time",".6304068","1.97e-13"
"10.time",".5670974","0"
"11.time",".5661135","0"
"12.time",".52422","0"
"13.time",".4656958","0"
"14.time",".4593266","0"
"15.time",".4577829","0"
"16.time",".4375228","0"
"N","6253",""
