"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_1lag","1.001108",".2273076"
"p75_pp_1lag","1.00013","2.32e-06"
"mine_time","1.001313",".5905447"
"onsite_insp_hours","1.00368","0"
"1.state","1.239023",".5390439"
"2.state","2.300728","0"
"3.state","1.727238",".0014866"
"4.state","3.530415",".000125"
"5.state","1.520852",".0329395"
"6.state","1","."
"7.state","1.600897",".0345757"
"8.state",".4623139","0"
"9.state","2.414193","0"
"10.state","1.367504",".1185815"
"11.state","3.89809",".0010966"
"12.state","1.703528","1.38e-06"
"13.state","2.161624",".0001521"
"14.state",".4771449",".0100124"
"15.state","1.048182",".5243816"
"16.state","1.682091","6.37e-14"
"17.state","2.128262",".0000184"
"2.time","1.3457",".0451563"
"3.time","1.319109",".0678419"
"4.time",".7084035",".0110864"
"5.time",".7987358",".1148531"
"6.time",".9421741",".6633687"
"7.time","1","."
"8.time",".8511384",".2335135"
"9.time",".8431627",".2304636"
"10.time",".6861876",".0079564"
"11.time","1.036168",".8130352"
"12.time",".6864314",".0101802"
"13.time",".7257445",".035735"
"14.time",".7731977",".1011585"
"15.time","1.221986",".2217077"
"16.time",".6386827",".0036399"
"17.time",".6654719",".0066223"
"18.time",".5777156",".0002737"
"19.time",".7070438",".0214564"
"20.time",".526434",".0000133"
"21.time",".5688163",".0001905"
"22.time",".5780157",".0002169"
"23.time",".6484011",".0034521"
"24.time",".4398395","3.39e-08"
"25.time",".6017497",".0008998"
"26.time",".5478594",".0000745"
"27.time",".6067583",".0008003"
"28.time",".5208476",".0000318"
"29.time",".4397438","6.50e-08"
"30.time",".5023418","7.15e-06"
"31.time",".5226052",".0000376"
"32.time",".3701169","2.06e-10"
"33.time",".3742773","9.58e-10"
"34.time",".3748587","9.31e-10"
"35.time",".3511776","3.05e-11"
"36.time",".3216515","3.76e-13"
"37.time",".3816391","3.99e-09"
"38.time",".3391325","1.23e-10"
"39.time",".3408927","1.58e-10"
"40.time",".289026","2.40e-13"
"41.time",".3389427","4.14e-10"
"42.time",".3009691","2.96e-12"
"43.time",".4513534","3.40e-06"
"44.time",".2723489","2.51e-14"
"45.time",".3177547","2.06e-11"
"46.time",".3619634","6.51e-09"
"47.time",".4365828","6.21e-07"
"48.time",".2931406","4.54e-13"
"49.time",".3083806","3.31e-12"
"50.time",".3411748","4.45e-10"
"51.time",".2989466","2.46e-11"
"52.time",".1551646","0"
"53.time",".2607014","4.47e-13"
"54.time",".2667783","6.24e-13"
"55.time",".2703448","1.08e-11"
"56.time",".1850334","0"
"57.time",".2081972","6.48e-14"
"58.time",".2000173","2.22e-16"
"59.time",".2335572","1.24e-12"
"60.time",".2598907","3.99e-11"
"61.time",".2096055","1.04e-14"
"62.time",".1745153","0"
"63.time",".2980576","4.84e-09"
"64.time",".1889641","1.18e-14"
"65.time",".1230552","0"
"N","26110",""
