"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss_c_lag_all","1.0459",".2754903"
"p75_ss_c_lag_all","1.001078",".0036069"
"mine_time",".9978231",".5701858"
"onsite_insp_hours","1.003783","4.44e-16"
"1.state","1.128455",".737625"
"3.state","1.582986",".0060296"
"4.state","4.880328","6.94e-08"
"5.state","1.894817",".0675894"
"6.state","1","."
"7.state","2.11097",".0122009"
"8.state","1","."
"9.state","2.222179","0"
"10.state","1.294495",".2384514"
"11.state","3.599925",".0004824"
"12.state","1.819074","1.05e-06"
"13.state","1.746714",".0080554"
"14.state",".4465365",".007473"
"15.state","1.132472",".1526233"
"16.state","1.716259","3.39e-11"
"17.state","2.678135",".0000492"
"1.time","1","."
"2.time","1.478406",".003272"
"3.time","1.569374",".0015104"
"4.time",".7767393",".0584975"
"5.time",".9654611",".8006796"
"6.time",".965871",".8029658"
"7.time","1.216092",".1990117"
"8.time",".967218",".824559"
"9.time","1.069043",".6536292"
"10.time",".8875139",".4393607"
"11.time","1.278181",".1323228"
"12.time",".804171",".1659428"
"13.time",".9302697",".6824328"
"14.time",".9518572",".7762246"
"15.time","1.425078",".0366848"
"16.time",".7437316",".0868471"
"17.time",".769515",".1128573"
"18.time",".7082939",".0358812"
"19.time",".7388146",".0729851"
"20.time",".584787",".0011137"
"21.time",".7131208",".0479782"
"22.time",".620991",".0042751"
"23.time",".7248096",".0664341"
"24.time",".5385963",".0003446"
"25.time",".6737585",".0323738"
"26.time",".5556365",".0005016"
"27.time",".6750885",".0230756"
"28.time",".5664064",".001451"
"29.time",".5282832",".0002678"
"30.time",".4552047","8.76e-06"
"31.time",".577971",".0022821"
"32.time",".4647866",".0000101"
"33.time",".4557601",".0000139"
"34.time",".4651193",".000039"
"35.time",".4398557","3.57e-06"
"36.time",".4491822","5.53e-06"
"37.time",".5130896",".000238"
"38.time",".5228461",".0008946"
"39.time",".4095235","5.62e-06"
"40.time",".4512676",".0000248"
"41.time",".4336362",".0000514"
"42.time",".4511092",".0000454"
"43.time",".6331122",".0268266"
"44.time",".3825116","3.14e-06"
"45.time",".4388391",".0000568"
"46.time",".4139946",".0000142"
"47.time",".5482384",".0021171"
"48.time",".4433348",".0000662"
"49.time",".3482565","1.19e-07"
"50.time",".475631",".0003406"
"51.time",".4301126",".0001045"
"52.time",".1772535","8.66e-15"
"53.time",".3763181",".0000259"
"54.time",".3655464",".0000221"
"55.time",".2914603","3.66e-07"
"56.time",".234828","1.82e-09"
"57.time",".3026444","3.78e-06"
"58.time",".2548114","7.03e-08"
"59.time",".2830245","4.00e-07"
"60.time",".415999",".0010911"
"61.time",".2974172","9.51e-07"
"62.time",".1792321","1.50e-11"
"63.time",".3385736",".0000457"
"64.time",".2030072","2.93e-09"
"65.time",".1246478","9.72e-11"
"N","19290",""
