"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all","1.000042",".5188499"
"p75_pp_c_lag_all","1",".709521"
"mine_time","1.001546",".3837752"
"onsite_insp_hours",".9994905",".0003014"
"1.state","1.037201",".7152414"
"3.state",".7537815",".0237628"
"4.state","1.334479","8.65e-06"
"5.state","1.149169",".2025655"
"6.state","1","."
"7.state","1.462271",".0123777"
"8.state","1.84e-06","0"
"9.state",".7320581","1.10e-10"
"10.state",".9781634",".8021791"
"11.state","1.860083",".0004526"
"12.state","1.237432",".0354086"
"13.state","1.566279",".0002508"
"14.state",".4723214","3.87e-10"
"15.state",".9192154",".2030357"
"16.state","1.19227",".0015521"
"17.state",".760855","2.16e-06"
"1.time","1","."
"2.time","1.16204",".0049097"
"3.time","1.270965","9.02e-06"
"4.time",".8830162",".0394853"
"5.time",".9090987",".1108906"
"6.time","1.018382",".8078763"
"7.time","1.20104",".0061749"
"8.time",".9412694",".3641119"
"9.time","1.033608",".6975621"
"10.time",".9971231",".9657659"
"11.time","1.037748",".5930742"
"12.time",".8768728",".0493763"
"13.time",".822198",".0066017"
"14.time",".9012134",".1662247"
"15.time",".9568214",".4886347"
"16.time",".7262",".0000139"
"17.time",".7553034",".000126"
"18.time",".8215839",".0053374"
"19.time",".8797897",".0703041"
"20.time",".6941129","3.86e-06"
"21.time",".6975298","1.73e-06"
"22.time",".7268077",".0000128"
"23.time",".8544404",".0331547"
"24.time",".6795358","1.63e-06"
"25.time",".7191877",".0000446"
"26.time",".6474426","1.64e-08"
"27.time",".7932136",".0020758"
"28.time",".6525459","8.10e-08"
"29.time",".6388166","4.67e-09"
"30.time",".6297805","7.82e-07"
"31.time",".8084894",".0255834"
"32.time",".7024114",".0000208"
"33.time",".6460915","3.68e-08"
"34.time",".6363291","1.17e-07"
"35.time",".7526155",".0017438"
"36.time",".6016135","9.59e-10"
"37.time",".6165842","1.94e-10"
"38.time",".619236","1.01e-07"
"39.time",".6375801","3.96e-07"
"40.time",".5490649","1.78e-14"
"41.time",".5029736","8.22e-15"
"42.time",".5615762","3.67e-07"
"43.time",".6914473",".0000122"
"44.time",".5645629","1.78e-10"
"45.time",".5493415","5.22e-12"
"46.time",".5032813","1.11e-15"
"47.time",".5697368","2.56e-12"
"48.time",".4546979","0"
"49.time",".4878354","1.33e-15"
"50.time",".4632774","0"
"51.time",".5411621","1.01e-10"
"52.time",".3908647","0"
"53.time",".4609307","2.44e-15"
"54.time",".4287961","0"
"55.time",".5032774","5.59e-12"
"56.time",".3736283","0"
"57.time",".4459946","0"
"58.time",".4347566","9.77e-15"
"59.time",".473333","9.33e-15"
"60.time",".4734373","7.97e-14"
"61.time",".4104224","0"
"62.time",".359718","0"
"63.time",".4969927","9.21e-13"
"64.time",".3766059","0"
"65.time",".3996433","2.20e-14"
"N","19291",""
