"","est1",""
"","b","p"
"dv","",""
"p48_ss_c_4lag","1.012757",".5827604"
"p75_ss_c_4lag","1.001508",".0034295"
"mine_time","1.000426",".7639295"
"onsite_insp_hours",".9993548","2.59e-07"
"1.state","1.003497",".9713328"
"2.state","1.830892","0"
"3.state",".759938",".0243051"
"4.state","1.302623",".0000148"
"5.state","1.099356",".31696"
"6.state","1","."
"7.state","1.261567",".1286713"
"8.state",".5795319","0"
"9.state",".7464651","1.54e-12"
"10.state",".9352816",".4193881"
"11.state","1.604382",".0081286"
"12.state","1.286896",".0038223"
"13.state","1.64151",".0000302"
"14.state",".4963081",".0000845"
"15.state",".8994315",".0613068"
"16.state","1.200842",".0002341"
"17.state",".7700495","2.56e-10"
"4.time","1.439361","2.18e-06"
"5.time","1.473449","3.93e-07"
"6.time","1.646044","9.58e-08"
"7.time","1.903783","2.89e-15"
"8.time","1.532379","1.63e-07"
"9.time","1.666583","4.19e-08"
"10.time","1.62924","3.96e-09"
"11.time","1.725835","8.08e-11"
"12.time","1.449548","5.38e-07"
"13.time","1.341075",".0000942"
"14.time","1.480561","1.60e-06"
"15.time","1.614536","6.72e-11"
"16.time","1.227391",".0089798"
"17.time","1.281577",".0018311"
"18.time","1.345004",".0000422"
"19.time","1.485189","4.54e-08"
"20.time","1.20517",".017971"
"21.time","1.171007",".0310586"
"22.time","1.264372",".0007174"
"23.time","1.3881","3.18e-06"
"24.time","1.15027",".067351"
"25.time","1.215058",".0066015"
"26.time","1.182468",".0222694"
"27.time","1.412034","2.71e-07"
"28.time","1.085054",".2563248"
"29.time","1.074102",".2929285"
"30.time","1.127652",".1149061"
"31.time","1.379557","8.07e-06"
"32.time","1.19259",".0063958"
"33.time","1.082067",".2113884"
"34.time","1.071434",".305616"
"35.time","1.219494",".0008382"
"36.time","1","."
"37.time",".9748778",".6560857"
"38.time",".9504995",".4529463"
"39.time","1.088545",".157824"
"40.time",".9232515",".2259662"
"41.time",".924478",".2891105"
"42.time",".926615",".3988825"
"43.time","1.154647",".0335879"
"44.time",".9055386",".1637826"
"45.time",".9092589",".1471672"
"46.time",".8595255",".0241763"
"47.time",".9957174",".9439661"
"48.time",".7717548",".0000831"
"49.time",".8607544",".0328989"
"50.time",".7572792",".0000193"
"51.time",".8878613",".1099812"
"52.time",".6881013","2.05e-06"
"53.time",".7746677",".0005906"
"54.time",".7435688",".0001559"
"55.time",".8681669",".0763885"
"56.time",".641585","1.59e-07"
"57.time",".7414623",".0001577"
"58.time",".7716771",".0017843"
"59.time",".8249304",".0148763"
"60.time",".7989791",".0048491"
"61.time",".7183699",".0000406"
"62.time",".6745416","1.18e-06"
"63.time",".8996306",".2059857"
"64.time",".7058487",".0002559"
"65.time",".7457023",".0024986"
"N","22446",""
