"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.001567",".1894344"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9993549",".7636737"
"sp48_26_pp_c_lag_all","1.000266",".8868251"
"sp48_27_pp_c_lag_all",".999392",".7361889"
"sp48_28_pp_c_lag_all","1.000241",".9140857"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.002305",".476834"
"sp48_6_pp_c_lag_all","1.000092",".9376755"
"sp48_7_pp_c_lag_all","1.000754",".6477908"
"sp48_8_pp_c_lag_all","1.000393",".8710017"
"sp75_100_pp_c_lag_all","1.001445",".7701152"
"sp75_1002_pp_c_lag_all",".9981489",".0349127"
"sp75_1003_pp_c_lag_all",".9998389",".79481"
"sp75_1003_2_pp_c_lag_all","1.018149",".1003203"
"sp75_1311_pp_c_lag_all",".9969452",".5228109"
"sp75_1315_pp_c_lag_all","1.011111",".6963524"
"sp75_1316_pp_c_lag_all",".9954143",".2707195"
"sp75_1318_pp_c_lag_all",".9990038",".7469217"
"sp75_1400_pp_c_lag_all","1.000831",".6624787"
"sp75_1400_1_pp_c_lag_all",".9992503",".8919604"
"sp75_1403_10_pp_c_lag_all","1.001563",".0013666"
"sp75_1403_5_pp_c_lag_all","1.000088",".7901773"
"sp75_1403_6_pp_c_lag_all","1.000581",".0912042"
"sp75_1403_7_pp_c_lag_all",".9960567",".004654"
"sp75_1403_8_pp_c_lag_all",".9996964",".1556107"
"sp75_1404_pp_c_lag_all",".9833933",".0045685"
"sp75_1404_1_pp_c_lag_all",".9906708",".0786732"
"sp75_1405_pp_c_lag_all","1.000749",".3539609"
"sp75_1405_1_pp_c_lag_all",".9990785",".8025369"
"sp75_153_pp_c_lag_all",".991108",".4062046"
"sp75_156_pp_c_lag_all",".9917502",".1070027"
"sp75_160_pp_c_lag_all","1.023655",".0983376"
"sp75_1719_2_pp_c_lag_all","1.007416",".0097516"
"sp75_1719_4_pp_c_lag_all",".9996272",".7250397"
"sp75_1720_pp_c_lag_all","1.001868",".0089644"
"sp75_1725_pp_c_lag_all",".999896",".1699534"
"sp75_1906_pp_c_lag_all","1.00327",".0366968"
"sp75_1916_pp_c_lag_all",".9962627",".0105822"
"sp75_203_pp_c_lag_all",".9998436",".5091524"
"sp75_204_pp_c_lag_all","1.000337",".4792397"
"sp75_205_pp_c_lag_all","1.009459",".030581"
"sp75_207_pp_c_lag_all","1.007462",".0188036"
"sp75_208_pp_c_lag_all",".9998751",".7314483"
"sp75_209_pp_c_lag_all","1.001104",".4650815"
"sp75_212_pp_c_lag_all","1.002802",".0680895"
"sp75_213_pp_c_lag_all",".9783943",".018782"
"sp75_215_pp_c_lag_all",".9788753",".0389719"
"sp75_332_pp_c_lag_all",".9999515",".9810659"
"sp75_334_pp_c_lag_all",".9980261",".0932453"
"sp75_337_pp_c_lag_all","1.000082",".930745"
"sp75_340_pp_c_lag_all","1.000577",".0682087"
"sp75_343_pp_c_lag_all",".9958078",".1162148"
"sp75_373_pp_c_lag_all","1.020524",".0354673"
"sp75_388_pp_c_lag_all","1.001051",".412224"
"sp75_389_pp_c_lag_all",".997762",".3989729"
"sp75_500_pp_c_lag_all","1.002644",".0885896"
"sp75_500_1_pp_c_lag_all",".9932778",".5516089"
"sp75_501_pp_c_lag_all",".9995928",".8250448"
"sp75_501_2_pp_c_lag_all",".9972683",".3696662"
"sp75_502_pp_c_lag_all",".9980863",".7665776"
"sp75_503_pp_c_lag_all",".9999467",".2508285"
"sp75_505_pp_c_lag_all","1.002947",".2846625"
"sp75_506_1_pp_c_lag_all",".9997713",".9148873"
"sp75_507_pp_c_lag_all","1.000928",".3896618"
"sp75_507_1_pp_c_lag_all","1.000392",".476728"
"sp75_508_1_pp_c_lag_all",".9993812",".8699532"
"sp75_509_pp_c_lag_all","1.004953",".3351507"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all",".9988369",".8433697"
"sp75_523_pp_c_lag_all",".9996392",".5024646"
"sp75_523_3_pp_c_lag_all",".9997754",".1765239"
"sp75_524_pp_c_lag_all","1.004006",".2321455"
"sp75_602_pp_c_lag_all","1.000872",".3332005"
"sp75_603_pp_c_lag_all","1.002841",".1761124"
"sp75_604_pp_c_lag_all",".9999861",".8986751"
"sp75_605_pp_c_lag_all","1.000786",".0940996"
"sp75_606_pp_c_lag_all","1.000021",".9149384"
"sp75_607_pp_c_lag_all",".9993413",".485901"
"sp75_703_3_pp_c_lag_all","1.002388",".1091318"
"sp75_703_4_pp_c_lag_all","1.000242",".9744113"
"sp75_807_pp_c_lag_all","1.00043",".09451"
"sp75_810_pp_c_lag_all",".9993497",".2250827"
"sp75_811_pp_c_lag_all",".9996677",".7575918"
"sp75_812_pp_c_lag_all",".9956552",".3394973"
"sp75_816_pp_c_lag_all",".9976983",".0005989"
"sp75_817_pp_c_lag_all",".9987895",".8649384"
"sp75_906_pp_c_lag_all",".997422",".5809145"
"mine_time","1.001757",".6420314"
"onsite_insp_hours","1.004329","0"
"1.state","1.173648",".6629521"
"3.state","1.667772",".0114052"
"4.state","6.174769","2.65e-09"
"5.state","1.978975",".0602976"
"6.state","1","."
"7.state","1.821558",".2169739"
"8.state","1","."
"9.state","2.383055","2.10e-06"
"10.state","1.245689",".4133424"
"11.state","5.23869","2.25e-08"
"12.state","1.773925","6.54e-06"
"13.state","1.767065",".0077037"
"14.state",".5260546",".0088593"
"15.state","1.151762",".1230209"
"16.state","1.723513","2.72e-11"
"17.state","4.320297",".0096175"
"1.time","1","."
"2.time","1.472306",".0037693"
"3.time","1.558728",".0019424"
"4.time",".7698697",".0519682"
"5.time",".9549144",".7420586"
"6.time",".9494496",".7112544"
"7.time","1.190643",".2540099"
"8.time",".9492714",".7303423"
"9.time","1.051598",".7364073"
"10.time",".8693055",".3671138"
"11.time","1.245514",".1798029"
"12.time",".7834822",".1254899"
"13.time",".9075666",".5859724"
"14.time",".9228922",".6461734"
"15.time","1.384567",".0562035"
"16.time",".72008",".05953"
"17.time",".7438202",".0781113"
"18.time",".6872746",".0243243"
"19.time",".7194617",".0547744"
"20.time",".5717723",".0009402"
"21.time",".7020529",".0418908"
"22.time",".6064655",".0032073"
"23.time",".7083768",".052429"
"24.time",".5276949",".0002991"
"25.time",".6610997",".0278612"
"26.time",".546514",".0004457"
"27.time",".6664312",".0215003"
"28.time",".5596057",".0015509"
"29.time",".5221021",".0002864"
"30.time",".4424832","6.72e-06"
"31.time",".5577445",".0012639"
"32.time",".4480901","7.05e-06"
"33.time",".4364573","8.20e-06"
"34.time",".4421366",".0000192"
"35.time",".4146262","1.57e-06"
"36.time",".4313512","2.56e-06"
"37.time",".4959431",".0001464"
"38.time",".5083074",".0006659"
"39.time",".3923384","4.30e-06"
"40.time",".4320364",".0000162"
"41.time",".412051",".000034"
"42.time",".4313842",".0000268"
"43.time",".6156411",".0203652"
"44.time",".3599279","9.24e-07"
"45.time",".4149124",".0000226"
"46.time",".4017998",".0000102"
"47.time",".5301914",".0015093"
"48.time",".4276568",".0000647"
"49.time",".3365582","1.22e-07"
"50.time",".466901",".0003192"
"51.time",".4180853",".00011"
"52.time",".1631001","2.89e-15"
"53.time",".3432018","4.66e-06"
"54.time",".3441672","6.09e-06"
"55.time",".2686598","9.89e-08"
"56.time",".218784","4.59e-10"
"57.time",".2673643","2.75e-07"
"58.time",".2284424","9.18e-09"
"59.time",".2526917","5.80e-08"
