"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_lag_all","1.027889",".0257164"
"p75_c_lag_all","1.000091",".3994895"
"mine_time","1.002607",".8984856"
"onsite_insp_hours","1.003642","0"
"1.state","1.078896",".9204943"
"2.state",".752389",".0478694"
"3.state",".9702679",".9483079"
"4.state","4.554071",".0465248"
"5.state",".9261847",".8807597"
"6.state",".4644149","6.97e-08"
"7.state","2.079931",".4280532"
"8.state",".8065408",".1066429"
"9.state",".2068027","0"
"10.state",".6835275",".3505181"
"11.state","3.016326",".2002123"
"12.state",".5215509",".0020998"
"13.state","1.879214",".3446872"
"14.state",".4315122",".053004"
"15.state",".6145334",".0047251"
"16.state","1","."
"17.state","1","."
"1.time","1.009843",".958553"
"2.time","1","."
"3.time",".6914115",".0557057"
"4.time",".9103933",".6787711"
"5.time",".5338581",".003545"
"6.time",".4888767",".0005951"
"7.time",".5062226",".0016727"
"8.time",".3305437","3.66e-07"
"9.time",".2402691","8.82e-11"
"10.time",".2811262","3.79e-07"
"11.time",".2067191","1.18e-10"
"12.time",".2515021","2.34e-08"
"13.time",".1727621","9.62e-13"
"14.time",".2607078","4.30e-06"
"15.time",".1566005","1.91e-10"
"16.time",".1093134","9.54e-13"
"N","6242",""
