"","est1",""
"","b","p"
"dv","",""
"p48_pp","1.000192",".1209561"
"p75_pp","1.000009",".0003311"
"mine_time","1.007465",".1897416"
"onsite_insp_hours",".9998048",".0000111"
"1.state",".8627594",".192727"
"2.state","1.244875","4.37e-06"
"3.state",".6613116",".0011955"
"4.state","1.045985",".4812619"
"5.state",".88508",".2171143"
"6.state",".7994569","3.16e-06"
"7.state","1.076233",".7054831"
"8.state",".4847835","0"
"9.state",".5720031","0"
"10.state",".8083334",".0169685"
"11.state","1.565292",".0101463"
"12.state","1.069587",".3573014"
"13.state","1.505291",".0001735"
"14.state",".4161965","1.11e-06"
"15.state",".7351549","2.21e-08"
"16.state","1","."
"17.state",".6074317","0"
"1.time","1.023251",".6304644"
"2.time","1","."
"3.time",".9263348",".0927566"
"4.time",".8379138",".0018844"
"5.time",".7887985","6.83e-06"
"6.time",".7166012","4.51e-09"
"7.time",".707979","3.03e-09"
"8.time",".6705312","1.78e-10"
"9.time",".5889033","2.22e-16"
"10.time",".5288921","0"
"11.time",".5299716","0"
"12.time",".4927072","0"
"13.time",".4344202","0"
"14.time",".4241959","0"
"15.time",".417495","0"
"16.time",".4018076","0"
"N","6253",""
