"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_1lag","1.197308",".6894891"
"sp48_25_ss_1lag","1.959073",".4776772"
"sp48_26_ss_1lag","1.317711",".3733826"
"sp48_27_ss_1lag",".7876088",".7574483"
"sp48_28_ss_1lag","3.096463",".2023333"
"sp48_4_ss_1lag","1","."
"sp48_5_ss_1lag","4.044946",".1832573"
"sp48_6_ss_1lag",".5863297",".1588066"
"sp48_7_ss_1lag","1.007819",".9851189"
"sp48_8_ss_1lag",".9936592",".9909171"
"sp75_100_ss_1lag","1.355934",".7992251"
"sp75_1002_ss_1lag","2.921825",".2728469"
"sp75_1003_ss_1lag","1","."
"sp75_1003_2_ss_1lag","1","."
"sp75_1311_ss_1lag",".341188",".1717824"
"sp75_1315_ss_1lag",".425581",".3604825"
"sp75_1316_ss_1lag",".3764762",".1098964"
"sp75_1318_ss_1lag","1","."
"sp75_1322_ss_1lag","1","."
"sp75_1400_ss_1lag","1.264278",".7441146"
"sp75_1400_1_ss_1lag","1","."
"sp75_1403_10_ss_1lag","11.29805",".0210511"
"sp75_1403_5_ss_1lag",".8982227",".727673"
"sp75_1403_6_ss_1lag","1.228965",".3537366"
"sp75_1403_7_ss_1lag",".3480221",".0003308"
"sp75_1403_8_ss_1lag","2.48199",".514891"
"sp75_1404_ss_1lag","1","."
"sp75_1404_1_ss_1lag",".0596299",".0002392"
"sp75_1405_ss_1lag","1","."
"sp75_1405_1_ss_1lag","1","."
"sp75_153_ss_1lag","1","."
"sp75_155_ss_1lag","1","."
"sp75_156_ss_1lag","1","."
"sp75_1719_2_ss_1lag","0",".9630294"
"sp75_1719_4_ss_1lag","1","."
"sp75_1720_ss_1lag",".9420847",".7346758"
"sp75_1725_ss_1lag","1.028409",".4756489"
"sp75_1906_ss_1lag","1","."
"sp75_1916_ss_1lag","1","."
"sp75_203_ss_1lag",".9866254",".8285958"
"sp75_204_ss_1lag","1.527469",".0273648"
"sp75_205_ss_1lag","1","."
"sp75_207_ss_1lag","1","."
"sp75_208_ss_1lag",".8334909",".0417694"
"sp75_209_ss_1lag","1.068935",".7774298"
"sp75_212_ss_1lag","5.62392",".0157556"
"sp75_213_ss_1lag","1","."
"sp75_215_ss_1lag","1","."
"sp75_332_ss_1lag",".3325609",".0271271"
"sp75_334_ss_1lag",".9149795",".7752134"
"sp75_337_ss_1lag",".6922803",".3643814"
"sp75_340_ss_1lag","1.247915",".2180976"
"sp75_343_ss_1lag","1","."
"sp75_373_ss_1lag","1","."
"sp75_388_ss_1lag","1.046617",".8346267"
"sp75_389_ss_1lag",".2731911",".0940215"
"sp75_500_ss_1lag","1.477605",".6483943"
"sp75_500_1_ss_1lag","1","."
"sp75_501_ss_1lag",".0462333",".0021352"
"sp75_501_2_ss_1lag",".1893371",".0332598"
"sp75_502_ss_1lag",".2491835",".1933417"
"sp75_503_ss_1lag","1.060509",".1786445"
"sp75_505_ss_1lag","1","."
"sp75_506_1_ss_1lag","1","."
"sp75_507_ss_1lag","2.50593",".2946734"
"sp75_507_1_ss_1lag",".9101033",".8101213"
"sp75_509_ss_1lag","2.400724",".3069056"
"sp75_512_1_ss_1lag",".0950697",".0202035"
"sp75_523_ss_1lag",".8299955",".0851506"
"sp75_523_3_ss_1lag",".9264422",".1623441"
"sp75_524_ss_1lag","1","."
"sp75_602_ss_1lag",".5715855",".2043134"
"sp75_603_ss_1lag",".7306924",".4628592"
"sp75_604_ss_1lag","1.042839",".3507063"
"sp75_605_ss_1lag","1.160283",".3847571"
"sp75_606_ss_1lag",".907834",".2935541"
"sp75_607_ss_1lag","1.770188",".2696446"
"sp75_703_3_ss_1lag","1","."
"sp75_807_ss_1lag","1.107715",".4950334"
"sp75_810_ss_1lag",".6917179",".5600536"
"sp75_811_ss_1lag",".2475265",".0754681"
"sp75_812_ss_1lag","1","."
"sp75_816_ss_1lag",".4710099",".0931408"
"sp75_817_ss_1lag","1","."
"sp75_906_ss_1lag",".3225676",".0542269"
"mine_time","1.012093",".54425"
"onsite_insp_hours","1.003722","0"
"1.state",".9800414",".9790546"
"2.state",".6070687",".0004626"
"3.state","1.282646",".5683038"
"4.state","4.453505",".0560727"
"5.state",".8660191",".7800369"
"6.state",".4924367","1.36e-06"
"7.state","2.314844",".4691691"
"8.state",".8212248",".1611349"
"9.state",".1995608","0"
"10.state",".666411",".3157092"
"11.state","2.903845",".2135445"
"12.state",".5182713",".0023699"
"13.state","2.012178",".2841045"
"14.state",".4120404",".0348317"
"15.state",".6363999",".0108092"
"16.state","1","."
"17.state","1","."
"1.time",".9861063",".9423944"
"2.time","1","."
"3.time",".6910777",".0600229"
"4.time",".9164239",".7041644"
"5.time",".5260256",".0034068"
"6.time",".4892886",".0007866"
"7.time",".5049847",".001714"
"8.time",".3182104","2.68e-07"
"9.time",".2323628","1.16e-10"
"10.time",".2764536","6.43e-07"
"11.time",".2010324","1.86e-10"
"12.time",".2474398","8.24e-08"
"13.time",".1708601","2.41e-12"
"14.time",".2474537","2.32e-06"
"15.time",".1557797","3.85e-10"
"16.time",".1104901","6.69e-12"
"N","5798",""
