"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all","1.016217",".2963109"
"sp48_25_ss_c_lag_all",".9629418",".0000528"
"sp48_26_ss_c_lag_all","1.034056",".0861192"
"sp48_27_ss_c_lag_all","1.025096",".0423222"
"sp48_28_ss_c_lag_all",".965465",".013454"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.01946",".2105632"
"sp48_6_ss_c_lag_all","1.020111",".321279"
"sp48_7_ss_c_lag_all",".9784892",".0564664"
"sp48_8_ss_c_lag_all","1.037195",".2734408"
"sp75_100_ss_c_lag_all","1.063735",".1624464"
"sp75_1002_ss_c_lag_all","1.031715",".0657634"
"sp75_1003_ss_c_lag_all","1.003535",".1573014"
"sp75_1003_2_ss_c_lag_all","1.010033",".5778842"
"sp75_1311_ss_c_lag_all","1.049318",".1731951"
"sp75_1315_ss_c_lag_all",".886679",".1727335"
"sp75_1316_ss_c_lag_all",".9857253",".4686128"
"sp75_1318_ss_c_lag_all",".8698484","0"
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.010405",".1162576"
"sp75_1400_1_ss_c_lag_all",".975991",".5789823"
"sp75_1403_10_ss_c_lag_all","1.005191",".0576115"
"sp75_1403_5_ss_c_lag_all",".9976568",".0052329"
"sp75_1403_6_ss_c_lag_all","1.003912",".0049786"
"sp75_1403_7_ss_c_lag_all",".9734152",".0004921"
"sp75_1403_8_ss_c_lag_all",".9983119",".1717389"
"sp75_1404_ss_c_lag_all","1.018563",".6576602"
"sp75_1404_1_ss_c_lag_all",".8861027",".0010521"
"sp75_1405_ss_c_lag_all","1.002528",".4679949"
"sp75_1405_1_ss_c_lag_all","1.064347",".2731969"
"sp75_153_ss_c_lag_all","1.038776",".4945831"
"sp75_155_ss_c_lag_all",".8645067",".1807574"
"sp75_156_ss_c_lag_all",".7332724","0"
"sp75_1719_2_ss_c_lag_all","1.225716",".000752"
"sp75_1719_4_ss_c_lag_all",".9738914",".0813902"
"sp75_1720_ss_c_lag_all","1.015954",".0102026"
"sp75_1725_ss_c_lag_all",".9994896",".2539917"
"sp75_1906_ss_c_lag_all","1.164847",".0147166"
"sp75_1916_ss_c_lag_all",".9681599",".0380256"
"sp75_203_ss_c_lag_all",".9961881",".0704921"
"sp75_204_ss_c_lag_all","1.009677",".0626974"
"sp75_205_ss_c_lag_all","1.106751","5.16e-10"
"sp75_207_ss_c_lag_all","1.03854",".063498"
"sp75_208_ss_c_lag_all","1.000568",".8392813"
"sp75_209_ss_c_lag_all","1.00883",".5414157"
"sp75_212_ss_c_lag_all","1.007842",".1227531"
"sp75_213_ss_c_lag_all","1.033596",".0593369"
"sp75_215_ss_c_lag_all","1.045701",".5326657"
"sp75_332_ss_c_lag_all",".970785",".1049154"
"sp75_334_ss_c_lag_all",".9903863",".1922604"
"sp75_337_ss_c_lag_all","1.005098",".5544356"
"sp75_340_ss_c_lag_all",".9930246",".0032448"
"sp75_343_ss_c_lag_all",".9818825",".4920272"
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all","1.016886",".2622518"
"sp75_389_ss_c_lag_all",".9323022",".0507581"
"sp75_500_ss_c_lag_all","1.041297",".1354685"
"sp75_500_1_ss_c_lag_all",".9579565",".6457866"
"sp75_501_ss_c_lag_all","1.06738",".015424"
"sp75_501_2_ss_c_lag_all","1.001116",".9826501"
"sp75_502_ss_c_lag_all",".9993151",".9875229"
"sp75_503_ss_c_lag_all",".9992863",".0939123"
"sp75_505_ss_c_lag_all",".9538278",".2502438"
"sp75_506_1_ss_c_lag_all","1.003215",".9380738"
"sp75_507_ss_c_lag_all","1.003165",".8215522"
"sp75_507_1_ss_c_lag_all","1.005232",".5443879"
"sp75_509_ss_c_lag_all","1.018996",".2813295"
"sp75_512_1_ss_c_lag_all",".986335",".8763024"
"sp75_523_ss_c_lag_all",".9947566",".1815408"
"sp75_523_3_ss_c_lag_all",".9988759",".387918"
"sp75_524_ss_c_lag_all","1.060538","4.59e-06"
"sp75_602_ss_c_lag_all","1.01613",".3954365"
"sp75_603_ss_c_lag_all",".9967172",".7212347"
"sp75_604_ss_c_lag_all",".9998009",".7703461"
"sp75_605_ss_c_lag_all",".9993386",".8975858"
"sp75_606_ss_c_lag_all","1.001692",".3563681"
"sp75_607_ss_c_lag_all",".9967538",".7259515"
"sp75_703_3_ss_c_lag_all","1.052593",".0143947"
"sp75_807_ss_c_lag_all","1.003233",".3092501"
"sp75_810_ss_c_lag_all","1.014088",".383969"
"sp75_811_ss_c_lag_all",".9884254",".6147601"
"sp75_812_ss_c_lag_all",".976502",".3639577"
"sp75_816_ss_c_lag_all","1.000383",".9804548"
"sp75_817_ss_c_lag_all",".9422205",".5426143"
"sp75_906_ss_c_lag_all",".9118434",".0390776"
"mine_time","1.011035",".0795746"
"onsite_insp_hours",".9999527",".2192159"
"1.state",".834241",".2467609"
"2.state","1.244132","6.11e-06"
"3.state",".6943116",".0000781"
"4.state","1.069194",".3180585"
"5.state",".8722224",".165728"
"6.state",".7551669","1.14e-09"
"7.state","1.093669",".661833"
"8.state",".4480825","0"
"9.state",".5650936","7.53e-11"
"10.state",".8412495",".1236555"
"11.state","3.013775","0"
"12.state","1.021813",".7599325"
"13.state","1.527717",".0000919"
"14.state",".4043877","7.51e-06"
"15.state",".7254467","3.81e-10"
"16.state","1","."
"17.state",".5607596",".0088188"
"1.time","1.059547",".1904967"
"2.time","1","."
"3.time",".9159702",".0566135"
"4.time",".8360163",".0006108"
"5.time",".7800848","5.76e-07"
"6.time",".7128152","2.79e-11"
"7.time",".7141077","1.62e-10"
"8.time",".7038451","7.95e-10"
"9.time",".6228879","6.66e-16"
"10.time",".5582577","0"
"11.time",".5461494","0"
"12.time",".5022817","0"
"13.time",".4380952","0"
"14.time",".420205","0"
"15.time",".4141277","0"
"16.time",".3940444","0"
"N","6253",""
