"","est1",""
"","b","p"
"MR_indicator","",""
"sp47_41_pp_1lag",".9961835",".1259123"
"sp47_42_pp_1lag",".9826582",".0288644"
"sp47_44_pp_1lag","1.001025",".7929845"
"sp48_11_pp_1lag","1.005884",".0167134"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag","1.004853",".2655323"
"sp48_26_pp_1lag","1.002702",".4204113"
"sp48_27_pp_1lag","1.003833",".2157157"
"sp48_28_pp_1lag",".9984379",".6922588"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag",".9923495",".24654"
"sp48_6_pp_1lag",".9966776",".0916771"
"sp48_7_pp_1lag","1.001594",".4342567"
"sp48_8_pp_1lag","1.00256",".5092215"
"sp71_701_pp_1lag","1","."
"sp72_503_pp_1lag",".9951487",".1447592"
"sp72_610_pp_1lag","1","."
"sp72_620_pp_1lag",".9983016",".9429545"
"sp72_630_pp_1lag","1.000424",".2412766"
"sp75_100_pp_1lag",".9973359",".6520829"
"sp75_1001_pp_1lag","1","."
"sp75_1001_1_pp_1lag",".9944294",".679718"
"sp75_1003_1_pp_1lag","1","."
"sp75_1100_2_pp_1lag","1.000881",".0292012"
"sp75_1101_20_pp_1lag",".995836",".6047578"
"sp75_1102_pp_1lag",".9989532",".6490597"
"sp75_1103_4_pp_1lag","1.001136",".0539082"
"sp75_1104_pp_1lag",".9992776",".6882634"
"sp75_1106_pp_1lag","1.004247",".5726945"
"sp75_1106_2_pp_1lag",".9994803",".7981824"
"sp75_1106_3_pp_1lag","1.001522",".0465965"
"sp75_1106_4_pp_1lag",".9984572",".7503627"
"sp75_1106_5_pp_1lag","1.000571",".8161787"
"sp75_1106_6_pp_1lag","1","."
"sp75_1107_14_pp_1lag",".997609",".8209819"
"sp75_1400_pp_1lag",".9988258",".737207"
"sp75_1400_1_pp_1lag","1.013765",".3577126"
"sp75_1400_2_pp_1lag",".9938556",".5784372"
"sp75_1400_3_pp_1lag","1.002493",".2913516"
"sp75_1400_4_pp_1lag",".9968159",".6103556"
"sp75_1401_pp_1lag","1.039647",".0003678"
"sp75_1401_1_pp_1lag","1","."
"sp75_1403_10_pp_1lag","1.001834",".1798165"
"sp75_1403_11_pp_1lag","1","."
"sp75_1403_3_pp_1lag","1","."
"sp75_1403_4_pp_1lag","1","."
"sp75_1403_5_pp_1lag",".9990466",".2811198"
"sp75_1403_6_pp_1lag",".9996792",".6132951"
"sp75_1403_7_pp_1lag","1.000836",".7577041"
"sp75_1403_8_pp_1lag",".9986775",".0133811"
"sp75_1403_9_pp_1lag","1.003942",".4505073"
"sp75_1404_pp_1lag","1.003042",".7852475"
"sp75_1404_1_pp_1lag",".9767284",".0414639"
"sp75_1405_pp_1lag",".9991827",".3450953"
"sp75_1405_1_pp_1lag","1.025354",".1624356"
"sp75_1431_pp_1lag","1","."
"sp75_1432_pp_1lag","1.00325",".6801592"
"sp75_1433_pp_1lag","1.000021",".9959053"
"sp75_1434_pp_1lag",".9991545",".8720252"
"sp75_1435_pp_1lag","1.006591",".7907091"
"sp75_1437_pp_1lag","1","."
"sp75_150_pp_1lag","1.0136",".1807509"
"sp75_151_pp_1lag",".9811097",".1209398"
"sp75_153_pp_1lag","1.001863",".8317099"
"sp75_156_pp_1lag",".9965498",".750551"
"sp75_160_pp_1lag","1.011364",".2726324"
"sp75_1600_2_pp_1lag",".9982079",".0951308"
"sp75_1712_10_pp_1lag",".9979569",".5792277"
"sp75_1712_6_pp_1lag","1.001535",".5136416"
"sp75_1720_pp_1lag",".9984032",".3015127"
"sp75_1721_pp_1lag","1.018195",".0799955"
"sp75_1725_pp_1lag","1.000336",".1429542"
"sp75_1726_pp_1lag","1.007101",".0800133"
"sp75_1727_pp_1lag","1","."
