"","est1",""
"","b","p"
"MR","",""
"sp47_41_ss",".7652339",".6055211"
"sp47_44_ss","8.45e-12","0"
"sp48_11_ss","1.078911",".295189"
"sp48_25_ss",".7625069",".1179133"
"sp48_26_ss","1.410473",".0000547"
"sp48_27_ss","1.038967",".7642355"
"sp48_28_ss","1.152771",".4666972"
"sp48_4_ss","1.721455",".4573085"
"sp48_5_ss","1.3263",".1330459"
"sp48_6_ss",".9858716",".9312349"
"sp48_7_ss","1.198903",".0449006"
"sp48_8_ss","1.396853",".1720101"
"sp71_701_ss","6.74e-11","0"
"sp72_503_ss",".8720414",".6241869"
"sp72_610_ss",".9883129",".9616448"
"sp72_620_ss","1.783844",".0166602"
"sp72_630_ss","1.030083",".1122904"
"sp75_100_ss",".8595664",".7203551"
"sp75_1001_ss","1.83304",".1358803"
"sp75_1001_1_ss","1.079311",".9157159"
"sp75_1003_1_ss",".756651",".3960523"
"sp75_1100_2_ss","1.0555",".0339602"
"sp75_1101_20_ss","3.22e-11","0"
"sp75_1102_ss","1.02523",".8370625"
"sp75_1103_4_ss","1.103019",".1032645"
"sp75_1104_ss",".7590029",".1813177"
"sp75_1106_ss",".772734",".0505071"
"sp75_1106_2_ss","1.12664",".1374278"
"sp75_1106_3_ss","1.074802",".095774"
"sp75_1106_4_ss","1.239201",".1592168"
"sp75_1106_5_ss",".9594776",".7036323"
"sp75_1106_6_ss",".830595",".6755403"
"sp75_1107_14_ss","3.082204","3.53e-11"
"sp75_1400_ss",".9143283",".4209621"
"sp75_1400_1_ss",".8728323",".7766783"
"sp75_1400_2_ss","1.214411",".5374979"
"sp75_1400_3_ss",".8583786",".3140726"
"sp75_1400_4_ss",".4312047",".0000711"
"sp75_1401_ss",".7302272",".3157357"
"sp75_1403_10_ss","1.023785",".4268354"
"sp75_1403_11_ss","1.875466",".0012134"
"sp75_1403_3_ss",".356061",".0443006"
"sp75_1403_4_ss","1.247701",".2383835"
"sp75_1403_5_ss",".9618803",".0638529"
"sp75_1403_6_ss","1.013317",".6572944"
"sp75_1403_7_ss","1.028669",".7342463"
"sp75_1403_8_ss",".9721201",".3511955"
"sp75_1403_9_ss",".7074305",".0662163"
"sp75_1404_ss","2.24389",".0788292"
"sp75_1404_1_ss",".5509819",".3570598"
"sp75_1405_ss",".9439818",".0290478"
"sp75_1405_1_ss","1.082612",".9189906"
"sp75_1431_ss",".3282231",".3247085"
"sp75_1432_ss","6.09e-10","0"
"sp75_1433_ss","1.044633",".8828607"
"sp75_1434_ss","1.010958",".9509958"
"sp75_1435_ss","1.121596",".8248197"
"sp75_1437_ss","2.730516",".0490269"
"sp75_150_ss",".7548486",".5769509"
"sp75_151_ss","1.270249",".6732137"
"sp75_153_ss",".2047194",".0028803"
"sp75_155_ss",".7418791",".0337971"
"sp75_156_ss","4.256296",".0000183"
"sp75_1600_2_ss",".940834",".7812974"
"sp75_1712_10_ss",".5207373",".1160481"
"sp75_1712_6_ss","1.174872",".4709593"
"sp75_1720_ss",".9965128",".9516553"
"sp75_1721_ss","2.63e-09","0"
"sp75_1725_ss",".9981685",".8290653"
"sp75_1726_ss","1.147285",".3603085"
"sp75_1727_ss","2.23e-10","0"
"sp75_1728_ss","2.1629",".0103791"
"sp75_1729_ss",".4977015",".028167"
"sp75_1730_ss",".6931404",".17794"
