"","est1",""
"","b","p"
"MR_indicator","",""
"sp47_41_pp",".9917926",".0028655"
"sp47_42_pp",".9915779",".354639"
"sp47_44_pp","1.006108",".3042914"
"sp48_11_pp","1.01011",".0861188"
"sp48_24_pp","1","."
"sp48_25_pp",".9989602",".8899895"
"sp48_26_pp","1.000105",".9733368"
"sp48_27_pp","1.005919",".1820544"
"sp48_28_pp",".9930717",".290171"
"sp48_4_pp","1","."
"sp48_5_pp",".9997381",".968167"
"sp48_6_pp",".9977201",".4623291"
"sp48_7_pp","1.001252",".693262"
"sp48_8_pp",".9991539",".8631672"
"sp71_701_pp","1","."
"sp72_503_pp",".9900158",".0636657"
"sp72_610_pp","1","."
"sp72_620_pp","1","."
"sp72_630_pp","1.000367",".4789592"
"sp75_100_pp","1.001891",".8468805"
"sp75_1001_pp","1","."
"sp75_1001_1_pp","1","."
"sp75_1003_1_pp","1","."
"sp75_1100_2_pp",".9996798",".5694987"
"sp75_1101_20_pp","1.016237",".1441552"
"sp75_1102_pp","1.001653",".5022242"
"sp75_1103_4_pp","1.000793",".2914882"
"sp75_1104_pp",".9978216",".5563606"
"sp75_1106_pp",".9953959",".5739001"
"sp75_1106_2_pp","1.001089",".7893038"
"sp75_1106_3_pp","1.000399",".7659421"
"sp75_1106_4_pp",".9936764",".405473"
"sp75_1106_5_pp","1.006065",".0661671"
"sp75_1106_6_pp","1","."
"sp75_1107_14_pp",".9871557",".5573165"
"sp75_1400_pp","1.016556",".143861"
"sp75_1400_1_pp","1","."
"sp75_1400_2_pp",".9853879",".2646433"
"sp75_1400_3_pp",".9974699",".5048954"
"sp75_1400_4_pp",".9994672",".9726074"
"sp75_1401_pp","1.007705",".5882225"
"sp75_1401_1_pp","1","."
"sp75_1403_10_pp","1.003788",".0544107"
"sp75_1403_11_pp","1","."
"sp75_1403_3_pp","1","."
"sp75_1403_4_pp","1","."
"sp75_1403_5_pp",".9985865",".3973684"
"sp75_1403_6_pp",".99911",".4787273"
"sp75_1403_7_pp",".9980379",".725365"
"sp75_1403_8_pp",".9960255",".4079112"
"sp75_1403_9_pp","1","."
"sp75_1404_pp","1.002997",".8542525"
"sp75_1404_1_pp","1","."
"sp75_1405_pp","1.002321",".318842"
"sp75_1405_1_pp","1","."
"sp75_1431_pp","1","."
"sp75_1432_pp","1.01498",".235081"
"sp75_1433_pp",".9977097",".7561432"
"sp75_1434_pp",".9963869",".8630308"
"sp75_1435_pp",".9947751",".7219793"
"sp75_1437_pp","1","."
"sp75_150_pp","1","."
"sp75_151_pp",".9676176",".0670238"
"sp75_153_pp","1.021988",".1625968"
"sp75_156_pp","1","."
"sp75_160_pp","1.023749",".1960404"
"sp75_1600_2_pp",".9990759",".5358003"
"sp75_1712_10_pp",".9939497",".4431405"
"sp75_1712_6_pp","1.000601",".8702115"
"sp75_1720_pp",".9993356",".7236345"
"sp75_1721_pp","1.002609",".7368368"
"sp75_1725_pp","1.000411",".1788762"
"sp75_1726_pp","1.011695",".1615225"
"sp75_1727_pp","1","."
"sp75_1728_pp","1","."
"sp75_1729_pp","1","."
"sp75_1730_pp","1.004632",".5778921"
"sp75_1731_pp",".9996239",".0486345"
"sp75_1903_pp","1.004876",".7051267"
"sp75_1909_pp","1.000362",".5564232"
"sp75_1910_pp","1.000323",".7902508"
"sp75_1911_pp",".999715",".793139"
"sp75_1912_pp",".9921772",".244687"
"sp75_1913_pp","1.004152",".5411872"
"sp75_1914_pp","1.001121",".2040977"
"sp75_1915_pp","1.007547",".3117491"
"sp75_202_pp","1.000457",".003903"
"sp75_208_pp",".9987951",".286983"
"sp75_211_pp",".9990194",".3389989"
"sp75_212_pp",".9992746",".8489599"
"sp75_214_pp","1.00007",".974924"
"sp75_312_pp",".9989897",".4770355"
