"","est1",""
"","b","p"
"MR_indicator","",""
"sp47_41_ss_1lag",".0997729",".0228927"
"sp47_44_ss_1lag","1","."
"sp48_11_ss_1lag",".7546886",".3644896"
"sp48_25_ss_1lag","1.598182",".3284092"
"sp48_26_ss_1lag","1.558588",".0363862"
"sp48_27_ss_1lag","1.029611",".9320111"
"sp48_28_ss_1lag",".6314224",".1693046"
"sp48_4_ss_1lag","1","."
"sp48_5_ss_1lag","1.099011",".842834"
"sp48_6_ss_1lag",".5524769",".0277418"
"sp48_7_ss_1lag","1.610653",".1090356"
"sp48_8_ss_1lag","1.36919",".4622197"
"sp71_701_ss_1lag","1","."
"sp72_503_ss_1lag",".3764371",".0744165"
"sp72_610_ss_1lag","1","."
"sp72_620_ss_1lag","3.322456",".1071138"
"sp72_630_ss_1lag","1.02322",".5698148"
"sp75_100_ss_1lag","1.23849",".7835333"
"sp75_1001_ss_1lag",".1449035",".0577874"
"sp75_1001_1_ss_1lag","1","."
"sp75_1003_1_ss_1lag","1","."
"sp75_1100_2_ss_1lag","1.05583",".4428252"
"sp75_1101_20_ss_1lag","1","."
"sp75_1102_ss_1lag","1.080781",".654507"
"sp75_1103_4_ss_1lag",".9876512",".9007315"
"sp75_1104_ss_1lag",".5596747",".1654092"
"sp75_1106_ss_1lag","2.087112",".4534332"
"sp75_1106_2_ss_1lag",".9712526",".9051001"
"sp75_1106_3_ss_1lag","1.260057",".0546169"
"sp75_1106_4_ss_1lag",".4426832",".1891785"
"sp75_1106_5_ss_1lag",".6947251",".1747439"
"sp75_1106_6_ss_1lag","1","."
"sp75_1107_14_ss_1lag","1","."
"sp75_1400_ss_1lag","2.853028",".0552711"
"sp75_1400_1_ss_1lag","1","."
"sp75_1400_2_ss_1lag","1","."
"sp75_1400_3_ss_1lag",".9103482",".9106671"
"sp75_1400_4_ss_1lag","1","."
"sp75_1401_ss_1lag",".8174056",".7825284"
"sp75_1403_10_ss_1lag","1.638101",".0140002"
"sp75_1403_11_ss_1lag","1","."
"sp75_1403_3_ss_1lag","1","."
"sp75_1403_4_ss_1lag","1","."
"sp75_1403_5_ss_1lag",".9237656",".5634847"
"sp75_1403_6_ss_1lag",".94388",".6131819"
"sp75_1403_7_ss_1lag","1.300269",".4600415"
"sp75_1403_8_ss_1lag",".9105364",".6256411"
"sp75_1403_9_ss_1lag","1","."
"sp75_1404_ss_1lag","1","."
"sp75_1404_1_ss_1lag","1.556169",".5627053"
"sp75_1405_ss_1lag","1.061653",".6489761"
"sp75_1405_1_ss_1lag","1","."
"sp75_1431_ss_1lag","1","."
"sp75_1432_ss_1lag","1","."
"sp75_1433_ss_1lag",".8614102",".8086065"
"sp75_1434_ss_1lag",".3413298",".0421701"
"sp75_1435_ss_1lag","1.125491",".9502112"
"sp75_1437_ss_1lag","1","."
"sp75_150_ss_1lag","1","."
"sp75_151_ss_1lag","1","."
"sp75_153_ss_1lag","1","."
"sp75_155_ss_1lag","1","."
"sp75_156_ss_1lag","1","."
"sp75_1600_2_ss_1lag",".6190303",".3265252"
"sp75_1712_10_ss_1lag","1","."
"sp75_1712_6_ss_1lag","1","."
"sp75_1720_ss_1lag","1.115535",".3632644"
"sp75_1721_ss_1lag","1","."
"sp75_1725_ss_1lag","1.027999",".2254715"
"sp75_1726_ss_1lag","1.622499",".2830844"
"sp75_1727_ss_1lag","1","."
"sp75_1728_ss_1lag","1.644228",".5648348"
"sp75_1729_ss_1lag","1","."
"sp75_1730_ss_1lag",".9786565",".9672238"
"sp75_1731_ss_1lag",".9161298",".0000409"
"sp75_1903_ss_1lag",".6003388",".2797012"
"sp75_1909_ss_1lag",".9819893",".8282053"
"sp75_1910_ss_1lag",".9323533",".65685"
"sp75_1911_ss_1lag","1.198082",".2639863"
